campaign_id,start_date,end_date,duration_days,channel,segment,objective,product,region,ab_group,budget,impressions,clicks,ctr,conversions,cvr,revenue,roi,cpc,cpa,success
CAMP00051,2024-05-31,2024-07-15,45,Content Marketing,Returning,Brand Awareness,Sports,Central,B,76822,103174,13599,13.18,328,2.42,1034718,1246.9,5.65,234.21,True
CAMP00052,2024-05-08,2024-06-13,36,Social Media,Returning,Upsell,Home & Living,North,B,314822,300378,70563,23.49,2946,4.18,3422753,987.2,4.46,106.86,True
CAMP00053,2023-01-16,2023-03-06,49,Content Marketing,Returning,Lead Generation,Sports,South,B,294028,458990,64048,13.95,1638,2.56,4210538,1332.02,4.59,179.5,True
CAMP00054,2024-09-08,2024-09-17,9,PPC,Returning,Conversion,Home & Living,West,A,262465,89181,32167,36.07,2154,6.7,3246768,1137.03,8.16,121.85,True
CAMP00055,2023-08-09,2023-08-27,18,Influencer,Returning,Lead Generation,Food & Beverage,Central,B,111103,42028,7257,17.27,233,3.22,840378,656.4,15.31,476.84,True
CAMP00056,2022-03-08,2022-04-09,32,Email,At-Risk,Conversion,Food & Beverage,East,B,435467,453869,118179,26.04,6294,5.33,31080756,7037.34,3.68,69.19,True
CAMP00057,2022-02-10,2022-04-08,57,PPC,Dormant,Lead Generation,Home & Living,South,B,359541,118965,48051,40.39,3604,7.5,10431816,2801.43,7.48,99.76,True
CAMP00058,2023-09-10,2023-10-03,23,Email,Returning,Conversion,Electronics,Central,A,113609,132212,25768,19.49,1027,3.99,4629071,3974.56,4.41,110.62,True
CAMP00059,2023-08-12,2023-09-21,40,PPC,Premium,Retention,Sports,South,A,283293,83742,29876,35.68,1979,6.63,4362659,1439.98,9.48,143.15,True
CAMP00060,2023-10-26,2023-12-04,39,Social Media,At-Risk,Conversion,Beauty,East,B,13691,10155,2017,19.86,71,3.53,191355,1297.67,6.79,192.83,True
CAMP00061,2023-03-26,2023-05-07,42,Influencer,New Customers,Retention,Electronics,East,B,498655,231105,40774,17.64,1342,3.29,6211152,1145.58,12.23,371.58,True
CAMP00062,2024-02-26,2024-03-14,17,Email,Dormant,Conversion,Food & Beverage,East,B,290090,330699,90431,27.35,5058,5.59,6786302,2239.38,3.21,57.35,True
CAMP00063,2023-10-31,2023-12-14,44,Social Media,Returning,Conversion,Electronics,West,A,294806,211706,37891,17.9,1205,3.18,3490466,1083.99,7.78,244.65,True
CAMP00064,2024-01-20,2024-02-15,26,Email,Returning,Brand Awareness,Fashion,West,A,134773,180697,42856,23.72,2079,4.85,6611998,4806.03,3.14,64.83,True
CAMP00065,2024-11-22,2024-12-12,20,PPC,Returning,Lead Generation,Electronics,Central,B,467139,159677,58582,36.69,3991,6.81,8806255,1785.15,7.97,117.05,True
CAMP00066,2022-08-09,2022-09-14,36,Content Marketing,Premium,Brand Awareness,Sports,East,B,414315,603906,76730,12.71,1787,2.33,5989869,1345.73,5.4,231.85,True
CAMP00067,2023-08-15,2023-09-05,21,Content Marketing,Returning,Conversion,Fashion,East,B,292968,460030,61417,13.35,1503,2.45,4348718,1384.37,4.77,194.92,True
CAMP00068,2023-01-02,2023-03-01,58,Email,New Customers,Conversion,Food & Beverage,East,B,399072,522798,133595,25.55,6982,5.23,31576211,7812.41,2.99,57.16,True
CAMP00069,2022-02-06,2022-03-06,28,Influencer,New Customers,Lead Generation,Sports,East,B,359891,143609,26664,18.57,924,3.47,889924,147.28,13.5,389.49,True
CAMP00070,2023-06-17,2023-06-27,10,PPC,Returning,Conversion,Home & Living,Central,B,363903,113123,47460,41.95,3697,7.79,13393373,3580.48,7.67,98.43,True
CAMP00071,2022-09-06,2022-10-05,29,PPC,New Customers,Lead Generation,Beauty,South,A,236382,79621,24969,31.36,1454,5.82,4562701,1830.22,9.47,162.57,True
CAMP00072,2023-09-11,2023-09-21,10,PPC,Premium,Brand Awareness,Home & Living,East,B,397141,91820,38635,42.08,3019,7.81,11987271,2918.39,10.28,131.55,True
CAMP00073,2023-05-09,2023-06-30,52,Social Media,New Customers,Brand Awareness,Food & Beverage,North,B,125593,90658,17000,18.75,566,3.33,2416089,1823.74,7.39,221.9,True
CAMP00074,2022-08-14,2022-10-12,59,Social Media,Returning,Lead Generation,Sports,North,B,305823,215530,43470,20.17,1558,3.59,6833125,2134.34,7.04,196.29,True
CAMP00075,2022-02-05,2022-04-03,57,Content Marketing,Returning,Conversion,Beauty,North,B,131630,226195,28082,12.42,639,2.28,416919,216.74,4.69,205.99,True
CAMP00076,2023-07-19,2023-08-11,23,Social Media,At-Risk,Lead Generation,Fashion,West,A,480924,344447,60412,17.54,1883,3.12,1664710,246.15,7.96,255.4,True
CAMP00077,2024-09-10,2024-10-18,38,SMS,Returning,Conversion,Sports,East,A,239433,628505,181635,28.9,6648,3.66,28350672,11740.75,1.32,36.02,True
CAMP00078,2023-06-11,2023-07-17,36,PPC,New Customers,Conversion,Fashion,South,B,284223,70007,25489,36.41,1723,6.76,7543354,2554.03,11.15,164.96,True
CAMP00079,2022-01-28,2022-03-03,34,Content Marketing,Returning,Lead Generation,Food & Beverage,South,A,421496,805617,94005,11.67,2011,2.14,5998313,1323.1,4.48,209.6,True
CAMP00080,2022-07-15,2022-08-23,39,Social Media,New Customers,Conversion,Food & Beverage,North,B,282793,256475,57953,22.6,2328,4.02,11521922,3974.33,4.88,121.47,True
CAMP00081,2023-03-21,2023-05-14,54,PPC,At-Risk,Upsell,Home & Living,Central,A,52593,15827,5931,37.48,412,6.96,1778429,3281.49,8.87,127.65,True
CAMP00082,2023-11-16,2023-12-03,17,Email,At-Risk,Conversion,Fashion,South,B,137117,163148,42394,25.99,2253,5.32,3844263,2703.64,3.23,60.86,True
CAMP00083,2024-11-04,2024-12-02,28,PPC,Returning,Conversion,Fashion,Central,A,392081,94737,33812,35.69,2241,6.63,11057436,2720.19,11.6,174.96,True
CAMP00084,2023-11-25,2024-01-09,45,PPC,New Customers,Conversion,Electronics,North,B,116831,35317,13881,39.3,1013,7.3,1109481,849.65,8.42,115.33,True
CAMP00085,2024-06-11,2024-07-28,47,Content Marketing,Premium,Conversion,Food & Beverage,South,B,144287,245689,35445,14.43,937,2.64,3967106,2649.45,4.07,153.99,True
CAMP00086,2023-10-20,2023-12-18,59,Email,New Customers,Brand Awareness,Electronics,East,B,95931,139791,34505,24.68,1742,5.05,3874422,3938.76,2.78,55.07,True
CAMP00087,2023-10-23,2023-11-24,32,PPC,New Customers,Brand Awareness,Beauty,North,A,43442,14085,4836,34.34,308,6.38,1422901,3175.4,8.98,141.05,True
CAMP00088,2022-10-23,2022-12-15,53,SEO,Premium,Upsell,Food & Beverage,Central,A,138509,287553,69679,24.23,3316,4.76,9064777,6444.54,1.99,41.77,True
CAMP00089,2024-03-08,2024-04-08,31,PPC,Returning,Retention,Sports,North,A,355413,105538,36491,34.58,2343,6.42,1972103,454.88,9.74,151.69,True
CAMP00090,2022-12-11,2023-02-04,55,Email,New Customers,Upsell,Food & Beverage,South,A,77041,113644,24596,21.64,1088,4.43,1450410,1782.65,3.13,70.81,True
CAMP00091,2024-01-29,2024-02-10,12,PPC,At-Risk,Conversion,Sports,North,B,490482,162748,68388,42.02,5336,7.8,19312523,3837.46,7.17,91.92,True
CAMP00092,2024-09-29,2024-10-19,20,Email,Premium,Brand Awareness,Electronics,South,B,69056,94296,21656,22.97,1017,4.7,1036088,1400.36,3.19,67.9,True
CAMP00093,2024-06-26,2024-07-19,23,Social Media,At-Risk,Conversion,Home & Living,East,A,328582,258998,47468,18.33,1546,3.26,4119747,1153.8,6.92,212.54,True
CAMP00094,2023-12-26,2024-01-14,19,Content Marketing,Returning,Lead Generation,Home & Living,North,B,316686,609299,87005,14.28,2277,2.62,3525519,1013.25,3.64,139.08,True
CAMP00095,2024-10-18,2024-12-02,45,Email,At-Risk,Brand Awareness,Sports,Central,A,14647,15032,2898,19.28,114,3.94,76287,420.84,5.05,128.48,True
CAMP00096,2023-01-04,2023-01-30,26,PPC,Premium,Lead Generation,Electronics,South,A,371415,95030,29373,30.91,1686,5.74,3533518,851.37,12.64,220.29,True
CAMP00097,2022-02-19,2022-03-12,21,Social Media,New Customers,Lead Generation,Electronics,North,B,198320,177142,33569,18.95,1130,3.37,5395552,2620.63,5.91,175.5,True
CAMP00098,2024-12-19,2025-01-01,13,Influencer,New Customers,Lead Generation,Food & Beverage,East,B,495672,176988,34585,19.54,1261,3.65,4316919,770.92,14.33,393.08,True
CAMP00099,2022-07-24,2022-08-02,9,PPC,Returning,Lead Generation,Fashion,North,A,414840,132785,48284,36.36,3260,6.75,4803473,1057.91,8.59,127.25,True
CAMP00100,2023-06-22,2023-07-15,23,PPC,Premium,Conversion,Beauty,South,B,85408,27485,10148,36.92,695,6.86,1047489,1126.45,8.42,122.89,True
CAMP00101,2022-10-18,2022-11-21,34,PPC,Premium,Conversion,Fashion,East,B,243571,56908,25325,44.5,2093,8.26,1380125,466.62,9.62,116.37,True
CAMP00102,2022-10-12,2022-10-23,11,Social Media,Dormant,Conversion,Fashion,West,A,33903,28620,5865,20.5,213,3.64,211425,523.62,5.78,159.17,True
CAMP00103,2023-09-18,2023-11-03,46,Content Marketing,Dormant,Brand Awareness,Sports,Central,B,342227,585375,75135,12.84,1768,2.35,7874380,2200.92,4.55,193.57,True
CAMP00104,2022-09-19,2022-11-17,59,Influencer,Premium,Retention,Beauty,North,A,343268,143821,23208,16.14,699,3.01,848392,147.15,14.79,491.08,True
CAMP00105,2022-09-08,2022-10-23,45,Content Marketing,At-Risk,Brand Awareness,Fashion,South,B,88772,166771,25307,15.18,704,2.78,1959657,2107.52,3.51,126.1,True
CAMP00106,2022-10-12,2022-11-11,30,Email,New Customers,Conversion,Electronics,North,B,411152,437557,103506,23.66,5008,4.84,2919287,610.03,3.97,82.1,True
CAMP00107,2024-10-23,2024-11-30,38,Social Media,At-Risk,Lead Generation,Food & Beverage,Central,A,387718,380906,61700,16.2,1776,2.88,7049706,1718.26,6.28,218.31,True
CAMP00108,2024-12-01,2025-01-05,35,SEO,Returning,Brand Awareness,Beauty,South,B,228519,484016,160266,33.11,10423,6.5,23204257,10054.19,1.43,21.92,True
CAMP00109,2023-05-04,2023-06-25,52,Email,At-Risk,Lead Generation,Beauty,East,B,239584,352704,78584,22.28,3581,4.56,15555663,6392.78,3.05,66.9,True
CAMP00110,2022-10-27,2022-11-19,23,PPC,At-Risk,Lead Generation,Fashion,West,B,481985,111892,48161,43.04,3849,7.99,17677919,3567.73,10.01,125.22,True
CAMP00111,2022-12-18,2023-01-31,44,Influencer,Dormant,Retention,Sports,East,A,122677,43439,5599,12.89,134,2.41,459955,274.93,21.91,915.5,True
CAMP00112,2024-04-30,2024-05-21,21,Social Media,At-Risk,Conversion,Home & Living,North,B,232309,195941,34693,17.71,1092,3.15,4461464,1820.49,6.7,212.74,True
CAMP00113,2023-10-18,2023-12-07,50,Social Media,Dormant,Upsell,Home & Living,North,A,131294,111968,18494,16.52,543,2.94,664477,406.1,7.1,241.79,True
CAMP00114,2023-05-24,2023-06-29,36,SEO,Returning,Conversion,Beauty,Central,A,202321,401394,115762,28.84,6557,5.67,11884441,5774.05,1.75,30.86,True
CAMP00115,2022-09-23,2022-11-14,52,SEO,At-Risk,Retention,Beauty,East,A,79822,159573,46264,28.99,2634,5.69,9643317,11981.03,1.73,30.3,True
CAMP00116,2023-01-19,2023-02-27,39,PPC,New Customers,Lead Generation,Fashion,North,A,414011,111560,36962,33.13,2274,6.15,11139413,2590.61,11.2,182.06,True
CAMP00117,2023-11-28,2023-12-07,9,Email,Premium,Retention,Fashion,West,A,449148,582719,132682,22.77,6179,4.66,20132719,4382.42,3.39,72.69,True
CAMP00118,2024-06-11,2024-06-24,13,Social Media,Dormant,Upsell,Home & Living,West,A,333801,284064,52626,18.53,1733,3.29,6979218,1990.83,6.34,192.61,True
CAMP00119,2023-10-12,2023-10-30,18,PPC,New Customers,Brand Awareness,Food & Beverage,East,B,88176,28939,10666,36.86,730,6.85,3570717,3949.53,8.27,120.79,True
CAMP00120,2024-02-27,2024-03-26,28,Social Media,New Customers,Retention,Beauty,West,B,172834,146475,30259,20.66,1111,3.67,963091,457.23,5.71,155.57,True
CAMP00121,2024-11-18,2024-12-18,30,Social Media,New Customers,Lead Generation,Electronics,West,A,218491,170855,29564,17.3,909,3.08,4494480,1957.05,7.39,240.36,True
CAMP00122,2023-06-17,2023-06-25,8,Email,At-Risk,Conversion,Home & Living,South,B,302884,422970,111987,26.48,6064,5.42,30105333,9839.56,2.7,49.95,True
CAMP00123,2022-05-25,2022-06-08,14,Social Media,Returning,Lead Generation,Fashion,Central,B,208601,180916,38938,21.52,1489,3.83,3242772,1454.53,5.36,140.09,True
CAMP00124,2023-10-12,2023-11-26,45,PPC,Returning,Brand Awareness,Electronics,West,A,186024,55125,17346,31.47,1013,5.84,2289245,1130.62,10.72,183.64,True
CAMP00125,2024-11-27,2025-01-19,53,SMS,New Customers,Conversion,Electronics,West,A,124990,360434,106249,29.48,3967,3.73,7890371,6212.8,1.18,31.51,True
CAMP00126,2024-11-04,2024-11-30,26,Social Media,Premium,Brand Awareness,Sports,West,B,195885,170128,33702,19.81,1186,3.52,3440353,1656.31,5.81,165.16,True
CAMP00127,2022-02-07,2022-02-27,20,Influencer,Premium,Lead Generation,Food & Beverage,West,B,37972,15378,3000,19.51,109,3.64,73798,94.35,12.66,348.37,False
CAMP00128,2022-02-15,2022-04-04,48,Email,Returning,Upsell,Sports,North,B,204715,253836,67803,26.71,3704,5.46,2141686,946.18,3.02,55.27,True
CAMP00129,2023-08-06,2023-09-04,29,Social Media,Dormant,Conversion,Beauty,South,A,24687,18991,3628,19.11,123,3.4,173225,601.69,6.8,200.71,True
CAMP00130,2022-10-07,2022-10-14,7,SEO,Dormant,Brand Awareness,Sports,Central,B,420676,990982,336638,33.97,22462,6.67,61484927,14515.74,1.25,18.73,True
CAMP00131,2024-01-26,2024-03-05,39,PPC,At-Risk,Conversion,Home & Living,East,B,304298,102274,45201,44.2,3710,8.21,12990089,4168.87,6.73,82.02,True
CAMP00132,2024-12-23,2025-01-11,19,PPC,Returning,Brand Awareness,Food & Beverage,North,B,393368,115403,49772,43.13,3986,8.01,17750933,4412.55,7.9,98.69,True
CAMP00133,2024-05-23,2024-06-17,25,Social Media,Returning,Conversion,Food & Beverage,South,B,435761,345075,67077,19.44,2318,3.46,7929497,1719.69,6.5,187.99,True
CAMP00134,2023-05-07,2023-07-01,55,Social Media,Premium,Conversion,Sports,East,A,277386,226015,34759,15.38,950,2.73,2984688,976.01,7.98,291.99,True
CAMP00135,2024-11-07,2024-11-15,8,Email,Premium,Retention,Electronics,East,B,244799,247937,59740,24.1,2944,4.93,6508831,2558.85,4.1,83.15,True
CAMP00136,2023-07-25,2023-08-21,27,Social Media,Premium,Conversion,Beauty,South,B,105931,70887,15322,21.62,588,3.84,2670188,2420.69,6.91,180.15,True
CAMP00137,2022-04-22,2022-05-02,10,Email,Dormant,Brand Awareness,Sports,Central,A,135820,155165,32162,20.73,1363,4.24,5606859,4028.15,4.22,99.65,True
CAMP00138,2023-03-29,2023-04-29,31,PPC,Returning,Conversion,Fashion,South,A,266015,64549,25028,38.77,1802,7.2,7386424,2676.69,10.63,147.62,True
CAMP00139,2023-04-10,2023-04-23,13,Email,New Customers,Retention,Sports,South,B,409716,486232,123994,25.5,6467,5.22,6501724,1486.89,3.3,63.35,True
CAMP00140,2023-12-10,2024-01-09,30,Email,Premium,Conversion,Home & Living,North,B,211403,300177,85058,28.34,4929,5.8,10303562,4773.9,2.49,42.89,True
CAMP00141,2024-01-01,2024-01-25,24,Email,At-Risk,Lead Generation,Beauty,West,A,385661,414528,89115,21.5,3918,4.4,4656257,1107.34,4.33,98.43,True
CAMP00142,2022-12-08,2023-01-18,41,Email,At-Risk,Conversion,Sports,North,A,307476,391524,79208,20.23,3277,4.14,7402995,2307.67,3.88,93.83,True
CAMP00143,2023-04-30,2023-06-14,45,PPC,Returning,Upsell,Beauty,Central,B,365013,84091,32233,38.33,2294,7.12,9598512,2529.64,11.32,159.12,True
CAMP00144,2024-09-06,2024-09-15,9,PPC,Returning,Upsell,Sports,West,A,206582,55882,18640,33.36,1154,6.19,3781889,1730.7,11.08,179.01,True
CAMP00145,2022-10-24,2022-11-07,14,Social Media,At-Risk,Conversion,Home & Living,East,B,328929,277721,54458,19.61,1898,3.49,3793169,1053.19,6.04,173.3,True
CAMP00146,2023-05-25,2023-06-08,14,SEO,Dormant,Conversion,Electronics,East,B,294432,491999,180365,36.66,12988,7.2,43604874,14709.83,1.63,22.67,True
CAMP00147,2022-01-02,2022-01-24,22,SEO,New Customers,Lead Generation,Food & Beverage,North,B,335806,750983,272806,36.33,19466,7.14,30286942,8919.18,1.23,17.25,True
CAMP00148,2023-07-25,2023-08-06,12,Social Media,New Customers,Upsell,Home & Living,North,B,135953,126341,29013,22.96,1184,4.08,3834015,2720.1,4.69,114.83,True
CAMP00149,2023-01-10,2023-02-26,47,PPC,New Customers,Brand Awareness,Home & Living,North,A,52944,17770,6319,35.56,417,6.6,781816,1376.68,8.38,126.96,True
CAMP00150,2023-09-22,2023-11-04,43,Social Media,Returning,Conversion,Food & Beverage,East,B,201610,168085,33720,20.06,1202,3.57,3520413,1646.15,5.98,167.73,True
CAMP00151,2022-11-30,2022-12-15,15,PPC,Premium,Conversion,Food & Beverage,East,B,168038,38848,14012,36.07,938,6.7,1412876,740.81,11.99,179.14,True
CAMP00152,2022-12-10,2023-01-16,37,SMS,Returning,Upsell,Fashion,North,A,248660,648070,209866,32.38,8608,4.1,11076549,4354.5,1.18,28.89,True
CAMP00153,2022-01-29,2022-03-01,31,PPC,Returning,Brand Awareness,Sports,South,A,123950,29464,11168,37.91,786,7.04,824637,565.3,11.1,157.7,True
CAMP00154,2022-01-01,2022-02-19,49,PPC,Dormant,Retention,Sports,West,B,313598,94982,34239,36.05,2292,6.69,1778760,467.21,9.16,136.82,True
CAMP00155,2024-02-01,2024-02-16,15,Influencer,Returning,Brand Awareness,Beauty,South,A,220865,76707,10037,13.09,245,2.44,985422,346.16,22.01,901.49,True
CAMP00156,2022-09-08,2022-10-21,43,Social Media,New Customers,Conversion,Electronics,West,B,311457,239432,51404,21.47,1961,3.82,5631377,1708.08,6.06,158.83,True
CAMP00157,2023-07-30,2023-08-27,28,Social Media,New Customers,Retention,Food & Beverage,Central,A,415493,378599,73653,19.45,2547,3.46,1399934,236.93,5.64,163.13,True
CAMP00158,2022-07-27,2022-08-07,11,Social Media,Returning,Brand Awareness,Sports,South,B,115448,77431,14783,19.09,501,3.39,2450607,2022.69,7.81,230.44,True
CAMP00159,2023-05-13,2023-07-10,58,Influencer,Dormant,Conversion,Beauty,North,B,140349,48262,7394,15.32,211,2.86,926495,560.14,18.98,665.16,True
CAMP00160,2023-03-06,2023-04-23,48,Email,Premium,Retention,Sports,West,B,447121,660696,181543,27.48,10203,5.62,19582934,4279.78,2.46,43.82,True
