date,category,region,sales,units_sold,discount,profit
2021-01-11,Electronics,East,11876,45,0.05,3234.51
2021-01-11,Electronics,West,10510,18,0.09,1620.11
2021-01-11,Clothing,North,8018,38,0.04,1949.93
2021-01-11,Clothing,South,9121,19,0.01,1317.02
2021-01-11,Clothing,East,7615,36,0.03,1979.77
2021-01-11,Clothing,West,7641,28,0.16,1128.09
2021-01-11,Grocery,North,16182,33,0.21,4305.12
2021-01-11,Grocery,South,14550,40,0.17,2051.5
2021-01-11,Grocery,East,14140,68,0.02,2001.9
2021-01-11,Grocery,West,15359,72,0.05,3326.89
2021-01-11,Furniture,North,5906,11,0.09,897.03
2021-01-11,Furniture,South,4926,13,0.15,756.7
2021-01-11,Furniture,East,4039,9,0.11,641.77
2021-01-11,Furniture,West,5987,10,0.19,766.47
2021-01-11,Sports,North,6580,11,0.2,1217.58
2021-01-11,Sports,South,6529,31,0.07,1360.17
2021-01-11,Sports,East,4817,18,0.21,1430.07
2021-01-11,Sports,West,6674,16,0.04,1030.88
2021-01-12,Electronics,North,13406,43,0.14,3087.19
2021-01-12,Electronics,South,11060,20,0.05,1130.32
2021-01-12,Electronics,East,11021,25,0.17,1488.65
2021-01-12,Electronics,West,13590,24,0.1,2400.37
2021-01-12,Clothing,North,8360,31,0.18,974.44
2021-01-12,Clothing,South,8016,18,0.06,1425.72
2021-01-12,Clothing,East,6668,13,0.07,1422.16
2021-01-12,Clothing,West,7491,19,0.17,2152.66
2021-01-12,Grocery,North,15366,72,0.07,3365.39
2021-01-12,Grocery,South,15840,71,0.12,3474.8
2021-01-12,Grocery,East,14741,60,0.02,3620.95
2021-01-12,Grocery,West,14863,37,0.17,2778.87
2021-01-12,Furniture,North,5811,11,0.17,897.39
2021-01-12,Furniture,South,4775,10,0.09,564.96
2021-01-12,Furniture,East,4473,16,0.14,1228.24
2021-01-12,Furniture,West,5510,11,0.2,1276.98
2021-01-12,Sports,North,7040,23,0.12,1015.46
2021-01-12,Sports,South,6220,10,0.24,671.05
2021-01-12,Sports,East,5585,20,0.14,1581.1
2021-01-12,Sports,West,6404,29,0.17,1021.24
2021-01-13,Electronics,North,13158,24,0.21,2155.54
2021-01-13,Electronics,South,12654,23,0.01,2774.44
2021-01-13,Electronics,East,10424,45,0.17,1750.97
2021-01-13,Electronics,West,12288,25,0.02,2003.66
2021-01-13,Clothing,North,9818,29,0.16,2721.51
2021-01-13,Clothing,South,8125,18,0.06,852.15
2021-01-13,Clothing,East,7247,12,0.2,2171.11
2021-01-13,Clothing,West,9116,26,0.19,1644.4
2021-01-13,Grocery,North,19534,35,0.25,4954.89
2021-01-13,Grocery,South,14564,39,0.11,3604.83
2021-01-13,Grocery,East,13046,38,0.07,2077.73
2021-01-13,Grocery,West,15394,52,0.01,1594.43
2021-01-13,Furniture,North,5484,15,0.17,787.78
2021-01-13,Furniture,South,5093,8,0.2,600.37
2021-01-13,Furniture,East,4854,8,0.12,1080.9
2021-01-13,Furniture,West,5160,19,0.25,755.09
2021-01-13,Sports,North,6687,15,0.13,977.2
2021-01-13,Sports,South,6236,23,0.06,856.13
2021-01-13,Sports,East,5124,22,0.24,1418.1
2021-01-13,Sports,West,6899,12,0.25,929.84
2021-01-14,Electronics,North,14700,30,0.04,3868.55
2021-01-14,Electronics,South,11452,39,0.06,2375.09
2021-01-14,Electronics,East,12137,51,0.22,1858.42
2021-01-14,Electronics,West,14410,57,0.22,4195.19
2021-01-14,Clothing,North,9001,19,0.14,1056.69
2021-01-14,Clothing,South,8214,22,0.09,1248.12
2021-01-14,Clothing,East,7180,30,0.06,1699.16
2021-01-14,Clothing,West,9605,41,0.21,1911.68
2021-01-14,Grocery,North,19835,37,0.09,4673.19
2021-01-14,Grocery,South,14362,33,0.07,3959.98
2021-01-14,Grocery,East,14137,26,0.22,3416.53
2021-01-14,Grocery,West,17146,32,0.17,4046.94
2021-01-14,Furniture,North,6108,23,0.22,1675.84
2021-01-14,Furniture,South,5259,24,0.21,661.45
2021-01-14,Furniture,East,4934,18,0.2,1314.55
2021-01-14,Furniture,West,4906,12,0.0,772.24
2021-01-14,Sports,North,6700,14,0.06,1519.57
2021-01-14,Sports,South,6022,14,0.19,731.05
2021-01-14,Sports,East,5507,9,0.09,1247.47
2021-01-14,Sports,West,7095,12,0.03,2039.43
2021-01-15,Electronics,North,12728,39,0.18,1444.25
2021-01-15,Electronics,South,12186,28,0.09,2731.9
2021-01-15,Electronics,East,10317,20,0.01,1077.35
2021-01-15,Electronics,West,12980,39,0.12,3297.98
2021-01-15,Clothing,North,8409,27,0.25,1557.65
2021-01-15,Clothing,South,9203,24,0.04,2383.23
2021-01-15,Clothing,East,6611,28,0.17,1526.49
2021-01-15,Clothing,West,8876,28,0.24,1155.76
2021-01-15,Grocery,North,17358,47,0.16,3116.09
2021-01-15,Grocery,South,14880,48,0.25,2706.18
2021-01-15,Grocery,East,13239,46,0.01,3049.38
2021-01-15,Grocery,West,16193,46,0.22,3151.84
2021-01-15,Furniture,North,5650,11,0.21,1424.96
2021-01-15,Furniture,South,5182,11,0.03,551.91
2021-01-15,Furniture,East,4570,8,0.12,564.22
2021-01-15,Furniture,West,5547,22,0.17,1032.08
2021-01-15,Sports,North,6578,29,0.15,1011.69
2021-01-15,Sports,South,5313,10,0.08,1015.02
2021-01-15,Sports,East,5204,11,0.07,1243.74
2021-01-15,Sports,West,5078,9,0.19,548.04
2021-01-16,Electronics,North,15223,51,0.25,1956.14
2021-01-16,Electronics,South,14942,37,0.15,3593.45
2021-01-16,Electronics,East,13261,40,0.13,1559.14
2021-01-16,Electronics,West,15783,46,0.01,1826.34
2021-01-16,Clothing,North,10118,23,0.17,2631.87
2021-01-16,Clothing,South,9775,34,0.04,1181.93
2021-01-16,Clothing,East,10007,47,0.23,1104.72
2021-01-16,Clothing,West,11276,27,0.18,3091.81
2021-01-16,Grocery,North,22102,65,0.2,2564.34
2021-01-16,Grocery,South,19702,35,0.14,5190.68
2021-01-16,Grocery,East,19676,47,0.18,2288.83
2021-01-16,Grocery,West,18602,82,0.06,2453.77
2021-01-16,Furniture,North,6698,11,0.08,913.77
2021-01-16,Furniture,South,6462,12,0.16,1290.07
2021-01-16,Furniture,East,6402,21,0.25,1888.33
2021-01-16,Furniture,West,6791,14,0.05,1602.99
2021-01-16,Sports,North,8080,14,0.18,2008.21
2021-01-16,Sports,South,6498,17,0.09,1132.0
2021-01-16,Sports,East,6871,18,0.18,1355.88
2021-01-16,Sports,West,8534,15,0.23,1573.19
2021-01-17,Electronics,North,17361,30,0.05,3899.16
2021-01-17,Electronics,South,13108,28,0.18,1655.72
2021-01-17,Electronics,East,14033,51,0.06,4129.62
2021-01-17,Electronics,West,16078,59,0.21,3190.77
2021-01-17,Clothing,North,11478,30,0.13,1972.46
2021-01-17,Clothing,South,9703,22,0.04,1729.23
2021-01-17,Clothing,East,8067,15,0.03,2371.41
2021-01-17,Clothing,West,11475,30,0.06,1316.18
2021-01-17,Grocery,North,20751,61,0.21,3863.37
2021-01-17,Grocery,South,16825,56,0.15,4060.81
2021-01-17,Grocery,East,16404,76,0.18,3818.21
2021-01-17,Grocery,West,19137,49,0.21,4997.32
2021-01-17,Furniture,North,7441,26,0.03,1145.54
2021-01-17,Furniture,South,6369,28,0.13,1829.95
2021-01-17,Furniture,East,5954,18,0.13,644.9
2021-01-17,Furniture,West,6520,25,0.25,1910.51
2021-01-17,Sports,North,8854,23,0.13,1751.05
2021-01-17,Sports,South,7707,16,0.03,816.9
2021-01-17,Sports,East,7348,26,0.17,2160.18
2021-01-17,Sports,West,7219,30,0.17,1362.59
2021-01-18,Electronics,North,12998,27,0.21,3755.42
2021-01-18,Electronics,South,12208,25,0.12,2729.34
2021-01-18,Electronics,East,10973,51,0.23,2610.54
2021-01-18,Electronics,West,13659,29,0.05,3165.84
2021-01-18,Clothing,North,9949,41,0.16,2983.53
2021-01-18,Clothing,South,7266,33,0.24,1317.92
2021-01-18,Clothing,East,7385,17,0.18,2036.07
2021-01-18,Clothing,West,8683,24,0.08,2027.64
2021-01-18,Grocery,North,17288,33,0.11,4556.54
2021-01-18,Grocery,South,15841,63,0.14,1602.34
2021-01-18,Grocery,East,12316,34,0.17,2188.7
2021-01-18,Grocery,West,13935,36,0.06,2433.75
2021-01-18,Furniture,North,6222,13,0.12,1094.81
2021-01-18,Furniture,South,5403,9,0.13,1058.1
2021-01-18,Furniture,East,3999,9,0.13,886.1
2021-01-18,Furniture,West,4558,9,0.2,1110.44
2021-01-18,Sports,North,7000,23,0.23,784.37
2021-01-18,Sports,South,6134,10,0.09,737.82
2021-01-18,Sports,East,4668,14,0.08,1216.5
2021-01-18,Sports,West,6250,15,0.08,1387.92
2021-01-19,Electronics,North,12154,33,0.03,1655.74
2021-01-19,Electronics,South,12903,27,0.05,2645.54
2021-01-19,Electronics,East,10280,24,0.06,3007.78
2021-01-19,Electronics,West,12922,32,0.2,2714.21
2021-01-19,Clothing,North,8888,15,0.15,2344.99
2021-01-19,Clothing,South,7725,13,0.06,1100.11
2021-01-19,Clothing,East,6392,11,0.23,1091.01
2021-01-19,Clothing,West,9575,32,0.2,1483.75
2021-01-19,Grocery,North,16110,34,0.02,3621.07
2021-01-19,Grocery,South,16497,43,0.15,2204.05
2021-01-19,Grocery,East,14184,49,0.02,1485.46
2021-01-19,Grocery,West,16271,35,0.15,3406.16
2021-01-19,Furniture,North,5254,12,0.12,1563.37
2021-01-19,Furniture,South,4452,17,0.17,805.21
2021-01-19,Furniture,East,5103,10,0.25,641.34
2021-01-19,Furniture,West,5017,20,0.18,1082.05
2021-01-19,Sports,North,6399,27,0.22,885.45
2021-01-19,Sports,South,5902,17,0.06,1009.24
2021-01-19,Sports,East,5414,23,0.2,794.46
2021-01-19,Sports,West,5911,14,0.22,1360.57
2021-01-20,Electronics,North,11094,33,0.17,3315.2
2021-01-20,Electronics,South,12359,26,0.14,3041.92
2021-01-20,Electronics,East,10190,23,0.24,1376.27
2021-01-20,Electronics,West,12543,26,0.05,2598.48
2021-01-20,Clothing,North,8721,17,0.09,2031.84
2021-01-20,Clothing,South,7421,14,0.23,1090.36
2021-01-20,Clothing,East,6570,11,0.23,1366.5
2021-01-20,Clothing,West,8187,15,0.13,1839.76
2021-01-20,Grocery,North,16753,66,0.21,4295.56
2021-01-20,Grocery,South,14629,30,0.01,2349.79
2021-01-20,Grocery,East,12651,53,0.23,2666.33
2021-01-20,Grocery,West,14072,43,0.1,2665.81
2021-01-20,Furniture,North,5670,9,0.12,1692.11
2021-01-20,Furniture,South,5997,11,0.05,1715.86
2021-01-20,Furniture,East,4529,12,0.22,1239.19
2021-01-20,Furniture,West,5208,9,0.2,838.15
2021-01-20,Sports,North,6507,24,0.17,1101.11
2021-01-20,Sports,South,5637,9,0.16,1490.96
2021-01-20,Sports,East,5389,12,0.19,727.34
2021-01-20,Sports,West,6712,16,0.1,867.69
2021-01-21,Electronics,North,12556,59,0.03,3674.17
2021-01-21,Electronics,South,11820,28,0.24,2204.42
2021-01-21,Electronics,East,10855,28,0.03,2476.73
2021-01-21,Electronics,West,10608,37,0.15,2440.27
2021-01-21,Clothing,North,8649,38,0.25,964.85
2021-01-21,Clothing,South,8954,18,0.25,1323.72
2021-01-21,Clothing,East,6846,14,0.02,1382.1
2021-01-21,Clothing,West,8196,13,0.2,1828.07
2021-01-21,Grocery,North,17753,43,0.11,2239.4
2021-01-21,Grocery,South,13218,23,0.11,1836.3
2021-01-21,Grocery,East,12236,23,0.18,3106.24
2021-01-21,Grocery,West,13479,65,0.1,2645.51
2021-01-21,Furniture,North,5259,12,0.05,538.65
2021-01-21,Furniture,South,5156,17,0.24,1342.15
2021-01-21,Furniture,East,4494,18,0.14,857.79
2021-01-21,Furniture,West,5493,10,0.02,1085.68
2021-01-21,Sports,North,6365,12,0.12,1115.01
2021-01-21,Sports,South,5575,15,0.11,1432.79
2021-01-21,Sports,East,5110,10,0.11,771.27
2021-01-21,Sports,West,6824,12,0.01,1913.12
2021-01-22,Electronics,North,15478,33,0.22,3518.67
2021-01-22,Electronics,South,11418,25,0.02,2325.64
2021-01-22,Electronics,East,11197,27,0.17,1213.02
2021-01-22,Electronics,West,11916,50,0.18,1363.39
2021-01-22,Clothing,North,7851,23,0.19,1823.58
2021-01-22,Clothing,South,7378,26,0.04,882.99
2021-01-22,Clothing,East,7882,25,0.01,917.74
2021-01-22,Clothing,West,8883,15,0.07,2254.9
2021-01-22,Grocery,North,14623,51,0.03,3260.97
2021-01-22,Grocery,South,16801,32,0.16,3462.02
2021-01-22,Grocery,East,12805,21,0.15,2772.08
2021-01-22,Grocery,West,16919,33,0.2,3913.29
2021-01-22,Furniture,North,5339,9,0.06,931.3
2021-01-22,Furniture,South,4664,12,0.11,1038.15
2021-01-22,Furniture,East,4420,7,0.16,694.74
2021-01-22,Furniture,West,5133,9,0.22,1382.33
2021-01-22,Sports,North,6511,12,0.12,1747.55
2021-01-22,Sports,South,6135,12,0.19,1418.61
2021-01-22,Sports,East,5478,9,0.23,595.1
2021-01-22,Sports,West,5646,21,0.03,1384.38
2021-01-23,Electronics,North,15802,39,0.21,3896.15
2021-01-23,Electronics,South,15703,37,0.15,3166.86
2021-01-23,Electronics,East,14110,29,0.22,3206.61
2021-01-23,Electronics,West,13531,26,0.04,2602.17
2021-01-23,Clothing,North,10816,20,0.05,2282.36
2021-01-23,Clothing,South,9319,18,0.15,1282.34
2021-01-23,Clothing,East,9861,23,0.0,2486.93
2021-01-23,Clothing,West,9987,46,0.19,1403.13
2021-01-23,Grocery,North,20425,61,0.04,3290.89
2021-01-23,Grocery,South,19379,35,0.25,3365.39
2021-01-23,Grocery,East,19206,34,0.15,3424.53
2021-01-23,Grocery,West,19058,52,0.17,1918.07
2021-01-23,Furniture,North,6035,11,0.02,1313.46
2021-01-23,Furniture,South,6881,17,0.16,777.35
2021-01-23,Furniture,East,6318,14,0.15,1486.58
2021-01-23,Furniture,West,7615,14,0.07,2018.05
2021-01-23,Sports,North,7709,34,0.08,1981.05
2021-01-23,Sports,South,7497,15,0.2,1525.29
2021-01-23,Sports,East,6133,18,0.11,721.98
2021-01-23,Sports,West,7752,26,0.15,1915.77
2021-01-24,Electronics,North,15148,33,0.2,1873.31
2021-01-24,Electronics,South,17224,47,0.21,3044.63
2021-01-24,Electronics,East,15535,56,0.09,2592.83
2021-01-24,Electronics,West,17694,84,0.01,4712.61
2021-01-24,Clothing,North,11123,34,0.24,1689.13
2021-01-24,Clothing,South,8585,23,0.22,2304.1
2021-01-24,Clothing,East,9369,24,0.12,1187.01
2021-01-24,Clothing,West,10052,43,0.18,2003.29
2021-01-24,Grocery,North,23366,46,0.04,5188.3
2021-01-24,Grocery,South,18064,71,0.19,4179.85
2021-01-24,Grocery,East,16739,54,0.06,4707.86
2021-01-24,Grocery,West,19366,64,0.07,4877.9
2021-01-24,Furniture,North,7695,34,0.12,821.23
2021-01-24,Furniture,South,6114,27,0.23,781.67
2021-01-24,Furniture,East,4534,13,0.22,473.19
2021-01-24,Furniture,West,7026,15,0.24,1489.75
2021-01-24,Sports,North,7218,14,0.25,1092.13
2021-01-24,Sports,South,7182,15,0.05,1530.24
2021-01-24,Sports,East,7001,15,0.09,859.86
2021-01-24,Sports,West,7852,30,0.06,1179.32
2021-01-25,Electronics,North,13411,32,0.03,3648.17
2021-01-25,Electronics,South,13102,26,0.02,3165.01
2021-01-25,Electronics,East,10084,26,0.12,1342.73
2021-01-25,Electronics,West,12686,21,0.21,2966.04
2021-01-25,Clothing,North,7136,15,0.14,802.48
2021-01-25,Clothing,South,7353,18,0.2,1410.66
2021-01-25,Clothing,East,6827,25,0.08,1715.97
2021-01-25,Clothing,West,7862,19,0.05,2166.5
2021-01-25,Grocery,North,16114,27,0.19,1698.96
2021-01-25,Grocery,South,13124,58,0.12,3698.92
2021-01-25,Grocery,East,13305,54,0.16,3518.12
2021-01-25,Grocery,West,19773,56,0.19,5791.42
2021-01-25,Furniture,North,5549,17,0.2,1195.91
2021-01-25,Furniture,South,4424,9,0.2,792.75
2021-01-25,Furniture,East,4524,17,0.17,1170.14
2021-01-25,Furniture,West,5608,17,0.21,1577.13
2021-01-25,Sports,North,6423,23,0.22,1482.8
2021-01-25,Sports,South,5806,22,0.11,1295.08
2021-01-25,Sports,East,5410,9,0.1,1605.81
2021-01-25,Sports,West,7011,15,0.16,933.8
2021-01-26,Electronics,North,13002,49,0.0,2755.79
2021-01-26,Electronics,South,12946,31,0.18,3599.66
2021-01-26,Electronics,East,10967,39,0.21,2893.23
2021-01-26,Electronics,West,12244,29,0.18,1994.18
2021-01-26,Clothing,North,9727,25,0.09,1934.14
