order_id,restaurant_id,city,cuisine,order_date,items_ordered,order_value,discount_amt,final_amount,delivery_time,order_rating,price_category,rest_type
ORD000033,R00731,Lucknow,North Indian,2024-05-03,4,769,76,693,74,3.8,Mid-Range,Quick Bites
ORD000034,R00751,Ahmedabad,Biryani,2023-12-25,3,923,369,554,30,4.2,Mid-Range,Fine Dining
ORD000035,R00477,Bangalore,North Indian,2024-07-09,1,435,174,261,81,4.4,Premium,Quick Bites
ORD000036,R01796,Jaipur,Fast Food,2024-10-16,4,234,0,234,32,3.6,Budget,Casual Dining
ORD000037,R00404,Hyderabad,Fast Food,2023-01-25,2,1293,0,1293,18,4.0,Premium,Cafe
ORD000038,R01119,Pune,North Indian,2023-11-12,5,1349,134,1215,38,,Mid-Range,Fine Dining
ORD000039,R00522,Lucknow,Italian,2024-01-13,3,136,0,136,71,3.4,Budget,Cloud Kitchen
ORD000040,R01030,Pune,Desserts,2023-06-20,1,198,0,198,43,,Budget,Quick Bites
ORD000041,R01000,Kolkata,Biryani,2024-06-19,2,116,34,82,33,3.2,Budget,Casual Dining
ORD000042,R00826,Hyderabad,South Indian,2024-04-03,2,2041,408,1633,33,,Premium,Casual Dining
ORD000043,R00086,Jaipur,North Indian,2023-04-10,2,681,272,409,52,3.7,Mid-Range,Cloud Kitchen
ORD000044,R00908,Lucknow,Chinese,2024-08-20,4,901,0,901,45,,Mid-Range,Cloud Kitchen
ORD000045,R00648,Kolkata,Chinese,2023-05-04,1,378,75,303,91,3.6,Mid-Range,Cafe
ORD000046,R00243,Chennai,Italian,2024-12-30,5,1232,123,1109,62,3.5,Mid-Range,Casual Dining
ORD000047,R01776,Ahmedabad,Thai,2023-07-12,4,2306,691,1615,48,,Premium,Casual Dining
ORD000048,R00730,Delhi,Thai,2024-12-04,5,907,0,907,67,3.9,Budget,Quick Bites
ORD000049,R01681,Lucknow,Fast Food,2023-11-26,3,958,95,863,52,,Mid-Range,Cloud Kitchen
ORD000050,R01626,Pune,Fast Food,2024-04-02,2,322,0,322,23,3.4,Budget,Quick Bites
ORD000051,R01012,Ahmedabad,Thai,2024-09-19,1,168,16,152,48,3.3,Budget,Quick Bites
ORD000052,R00724,Kolkata,Chinese,2024-10-11,3,862,172,690,86,,Mid-Range,Cafe
ORD000053,R00470,Jaipur,Fast Food,2023-02-01,3,2656,0,2656,39,3.9,Premium,Casual Dining
ORD000054,R00349,Kolkata,South Indian,2023-01-21,4,2771,1108,1663,31,,Premium,Casual Dining
ORD000055,R00489,Kolkata,Italian,2024-06-04,2,356,71,285,48,4.4,Mid-Range,Cloud Kitchen
ORD000056,R01901,Delhi,Desserts,2024-10-08,5,986,98,888,51,,Mid-Range,Quick Bites
ORD000057,R01585,Chennai,Chinese,2024-04-17,2,268,53,215,32,4.5,Budget,Quick Bites
ORD000058,R01690,Chennai,Fast Food,2024-01-27,2,408,0,408,42,,Mid-Range,Quick Bites
ORD000059,R01626,Pune,Fast Food,2023-03-01,3,619,0,619,20,4.1,Budget,Quick Bites
ORD000060,R01703,Pune,South Indian,2024-02-25,1,955,191,764,67,4.0,Premium,Cafe
ORD000061,R00922,Hyderabad,Chinese,2024-08-11,2,1202,360,842,41,3.3,Premium,Quick Bites
ORD000062,R00882,Lucknow,Biryani,2024-01-29,5,3712,0,3712,57,3.7,Premium,Cloud Kitchen
ORD000063,R01458,Hyderabad,Italian,2023-10-09,1,577,57,520,66,4.1,Premium,Casual Dining
ORD000064,R01133,Pune,Continental,2024-01-29,2,449,89,360,47,,Budget,Fine Dining
ORD000065,R00409,Kolkata,Italian,2023-10-08,4,296,29,267,56,3.5,Budget,Quick Bites
ORD000066,R01768,Mumbai,North Indian,2024-06-15,3,248,124,124,20,3.8,Budget,Quick Bites
ORD000067,R01641,Bangalore,Fast Food,2024-01-06,2,430,215,215,74,3.4,Mid-Range,Quick Bites
ORD000068,R00518,Delhi,Thai,2023-10-16,5,542,54,488,49,4.0,Budget,Cloud Kitchen
ORD000069,R01838,Delhi,Italian,2024-11-25,3,496,148,348,43,2.4,Budget,Casual Dining
ORD000070,R00115,Hyderabad,Desserts,2023-10-23,2,1225,490,735,30,3.9,Premium,Casual Dining
ORD000071,R01656,Delhi,Desserts,2024-12-21,2,273,0,273,32,,Budget,Fine Dining
ORD000072,R01180,Kolkata,Fast Food,2023-07-10,1,929,371,558,51,,Premium,Casual Dining
ORD000073,R01913,Pune,South Indian,2024-08-12,1,192,38,154,52,3.7,Mid-Range,Quick Bites
ORD000074,R01973,Lucknow,Desserts,2024-09-10,1,405,81,324,35,3.6,Mid-Range,Casual Dining
ORD000075,R01186,Mumbai,Italian,2024-01-18,4,2571,0,2571,71,,Premium,Fine Dining
ORD000076,R00735,Mumbai,Biryani,2023-08-24,4,3377,1350,2027,23,,Premium,Quick Bites
ORD000077,R00660,Jaipur,Biryani,2023-03-22,5,3454,0,3454,40,,Premium,Casual Dining
ORD000078,R00536,Bangalore,Biryani,2023-08-13,5,5037,503,4534,17,,Premium,Cloud Kitchen
ORD000079,R01378,Mumbai,Italian,2024-01-03,2,747,149,598,30,,Mid-Range,Quick Bites
ORD000080,R01316,Jaipur,Chinese,2023-10-05,3,1239,495,744,47,4.2,Mid-Range,Cloud Kitchen
ORD000081,R00171,Mumbai,Chinese,2024-12-16,4,906,362,544,92,4.4,Mid-Range,Cloud Kitchen
ORD000082,R01228,Ahmedabad,Fast Food,2023-02-28,3,2970,297,2673,77,4.1,Premium,Cafe
ORD000083,R00721,Delhi,Biryani,2023-11-10,2,455,136,319,44,,Mid-Range,Quick Bites
ORD000084,R00675,Chennai,Fast Food,2024-06-17,5,1292,0,1292,61,,Mid-Range,Casual Dining
ORD000085,R01133,Pune,Continental,2023-06-20,1,165,33,132,31,3.5,Budget,Fine Dining
ORD000086,R01841,Chennai,Biryani,2023-03-27,5,290,0,290,63,,Budget,Cloud Kitchen
ORD000087,R00925,Bangalore,Biryani,2023-07-28,5,1136,340,796,45,,Mid-Range,Casual Dining
ORD000088,R00626,Chennai,Fast Food,2024-02-24,3,141,56,85,43,4.2,Budget,Cloud Kitchen
ORD000089,R00854,Mumbai,Desserts,2023-07-28,1,244,48,196,46,3.2,Mid-Range,Dhaba
ORD000090,R01597,Lucknow,Mexican,2023-03-25,1,130,26,104,50,3.2,Budget,Casual Dining
ORD000091,R01950,Hyderabad,Biryani,2024-07-15,4,492,49,443,35,3.2,Budget,Quick Bites
ORD000092,R01818,Mumbai,Thai,2024-10-25,5,856,342,514,33,4.0,Budget,Quick Bites
ORD000093,R01448,Chennai,Thai,2023-04-19,5,1771,0,1771,79,,Mid-Range,Casual Dining
ORD000094,R00068,Bangalore,Chinese,2024-09-07,1,146,0,146,36,3.2,Budget,Quick Bites
ORD000095,R00349,Kolkata,South Indian,2024-05-31,2,1415,566,849,28,4.1,Premium,Casual Dining
ORD000096,R00137,Chennai,Italian,2024-01-01,3,1043,521,522,48,4.1,Mid-Range,Quick Bites
ORD000097,R00991,Delhi,Desserts,2023-06-18,2,961,288,673,37,4.6,Premium,Casual Dining
ORD000098,R01197,Bangalore,Thai,2023-04-29,1,58,0,58,21,,Budget,Casual Dining
ORD000099,R00344,Ahmedabad,Desserts,2023-11-03,1,792,0,792,59,4.0,Premium,Casual Dining
ORD000100,R01138,Ahmedabad,Italian,2024-10-24,5,577,57,520,37,3.7,Budget,Cafe
ORD000101,R01970,Ahmedabad,North Indian,2024-03-07,4,717,0,717,52,4.5,Mid-Range,Quick Bites
ORD000102,R01301,Hyderabad,Fast Food,2024-03-17,3,791,158,633,36,4.1,Mid-Range,Casual Dining
ORD000103,R00706,Chennai,Fast Food,2024-08-31,1,57,0,57,35,,Budget,Dhaba
ORD000104,R01055,Kolkata,Desserts,2023-06-15,4,3396,1018,2378,69,,Premium,Cloud Kitchen
ORD000105,R00134,Bangalore,Thai,2024-08-25,3,605,121,484,51,,Budget,Casual Dining
ORD000106,R01808,Bangalore,North Indian,2023-05-22,4,3627,0,3627,54,,Premium,Dhaba
ORD000107,R00820,Kolkata,Fast Food,2024-12-04,2,218,43,175,53,,Budget,Quick Bites
ORD000108,R00543,Delhi,Biryani,2023-04-21,1,209,20,189,36,,Budget,Quick Bites
ORD000109,R00773,Chennai,Continental,2024-07-10,1,229,22,207,42,4.3,Mid-Range,Quick Bites
ORD000110,R01020,Mumbai,Mexican,2024-03-09,5,1147,114,1033,41,3.2,Budget,Fine Dining
ORD000111,R01206,Hyderabad,Italian,2023-03-31,5,2551,510,2041,59,3.9,Premium,Dhaba
ORD000112,R00915,Pune,Desserts,2024-12-25,5,915,0,915,22,,Mid-Range,Cloud Kitchen
ORD000113,R01984,Ahmedabad,Chinese,2024-02-29,2,737,73,664,66,,Mid-Range,Dhaba
ORD000114,R01909,Mumbai,Desserts,2023-05-21,1,136,0,136,31,4.1,Budget,Fine Dining
ORD000115,R01753,Hyderabad,Biryani,2024-06-29,5,775,155,620,39,,Budget,Cloud Kitchen
ORD000116,R00557,Chennai,Fast Food,2024-06-05,5,337,101,236,39,4.0,Budget,Casual Dining
ORD000117,R01033,Hyderabad,Desserts,2024-02-13,5,495,0,495,79,,Budget,Casual Dining
ORD000118,R00681,Kolkata,Desserts,2024-04-18,5,1543,0,1543,68,,Mid-Range,Fine Dining
ORD000119,R01626,Pune,Fast Food,2024-07-18,1,167,0,167,24,3.1,Budget,Quick Bites
ORD000120,R00283,Mumbai,Continental,2024-08-12,4,1348,269,1079,27,2.8,Mid-Range,Cafe
ORD000121,R01697,Lucknow,Biryani,2024-12-02,3,358,71,287,37,3.0,Budget,Casual Dining
ORD000122,R01406,Bangalore,Thai,2023-05-24,3,590,295,295,55,,Budget,Quick Bites
ORD000123,R01256,Hyderabad,Continental,2023-10-29,4,1370,274,1096,35,4.0,Mid-Range,Fine Dining
ORD000124,R01977,Ahmedabad,Desserts,2024-12-05,5,276,0,276,19,3.6,Budget,Casual Dining
ORD000125,R01609,Pune,Desserts,2024-09-07,1,244,24,220,70,3.8,Mid-Range,Fine Dining
ORD000126,R01940,Ahmedabad,Italian,2024-10-19,3,155,31,124,53,,Budget,Casual Dining
ORD000127,R01343,Delhi,Fast Food,2024-03-08,5,801,160,641,47,3.3,Budget,Cafe
ORD000128,R01862,Hyderabad,Fast Food,2024-08-01,3,2145,0,2145,71,4.1,Premium,Cloud Kitchen
ORD000129,R00530,Chennai,Fast Food,2024-07-19,5,370,148,222,58,4.4,Budget,Cloud Kitchen
ORD000130,R01295,Pune,Mexican,2024-09-21,5,402,0,402,26,,Budget,Casual Dining
ORD000131,R01927,Pune,Mexican,2024-07-14,2,238,95,143,88,2.9,Budget,Casual Dining
ORD000132,R00618,Ahmedabad,Continental,2023-07-06,5,673,134,539,79,3.1,Budget,Quick Bites
ORD000133,R00713,Mumbai,Thai,2024-05-28,4,1228,245,983,43,,Mid-Range,Fine Dining
ORD000134,R01418,Kolkata,Fast Food,2024-04-30,1,155,0,155,74,,Budget,Cloud Kitchen
ORD000135,R01652,Delhi,Italian,2023-06-18,1,95,28,67,49,3.6,Budget,Cloud Kitchen
ORD000136,R00652,Kolkata,Thai,2024-06-28,3,890,178,712,28,,Mid-Range,Cafe
ORD000137,R00968,Chennai,Fast Food,2024-03-01,2,1243,0,1243,40,4.0,Premium,Quick Bites
ORD000138,R01639,Chennai,Desserts,2023-12-16,5,3006,601,2405,73,3.6,Premium,Fine Dining
ORD000139,R00098,Hyderabad,Fast Food,2024-04-09,2,661,264,397,69,4.4,Mid-Range,Cloud Kitchen
ORD000140,R00250,Chennai,South Indian,2023-02-03,4,752,225,527,51,,Mid-Range,Cloud Kitchen
ORD000141,R00935,Ahmedabad,Chinese,2024-09-13,3,893,178,715,46,,Mid-Range,Cafe
ORD000142,R01167,Lucknow,Desserts,2024-05-08,5,1512,302,1210,55,,Mid-Range,Cafe
ORD000143,R01702,Delhi,Fast Food,2023-07-09,4,4011,802,3209,69,,Premium,Dhaba
ORD000144,R00517,Lucknow,Desserts,2023-06-09,3,268,0,268,35,3.5,Budget,Quick Bites
ORD000145,R01070,Jaipur,Mexican,2024-04-01,5,4754,1426,3328,45,,Premium,Casual Dining
ORD000146,R01024,Bangalore,Thai,2024-04-30,4,1133,113,1020,49,,Mid-Range,Cafe
ORD000147,R01946,Pune,Thai,2023-12-22,3,909,454,455,28,,Mid-Range,Cloud Kitchen
ORD000148,R00365,Bangalore,North Indian,2024-04-25,3,1040,208,832,75,,Mid-Range,Fine Dining
ORD000149,R00192,Mumbai,Chinese,2023-06-30,5,606,242,364,27,,Budget,Casual Dining
ORD000150,R00360,Lucknow,North Indian,2023-04-15,5,333,66,267,67,,Budget,Casual Dining
ORD000151,R01634,Kolkata,Italian,2023-08-31,3,846,0,846,31,3.2,Mid-Range,Quick Bites
ORD000152,R01512,Delhi,Biryani,2023-09-19,1,88,0,88,45,4.0,Budget,Quick Bites
ORD000153,R00870,Chennai,Continental,2023-03-24,2,544,163,381,48,3.3,Mid-Range,Fine Dining
ORD000154,R01100,Hyderabad,Mexican,2023-01-27,1,580,0,580,32,,Premium,Casual Dining
ORD000155,R01019,Ahmedabad,Biryani,2023-01-04,1,74,0,74,49,3.4,Budget,Dhaba
ORD000156,R00317,Ahmedabad,Mexican,2023-09-15,5,1072,107,965,29,2.9,Mid-Range,Quick Bites
ORD000157,R00276,Chennai,Chinese,2024-10-29,1,292,87,205,37,3.8,Mid-Range,Quick Bites
ORD000158,R00923,Hyderabad,Continental,2024-05-03,3,397,119,278,36,,Budget,Cloud Kitchen
ORD000159,R00511,Jaipur,Mexican,2024-12-02,1,202,101,101,73,3.7,Mid-Range,Casual Dining
ORD000160,R01131,Kolkata,North Indian,2023-03-06,1,745,74,671,27,3.8,Premium,Casual Dining
ORD000161,R00330,Lucknow,Continental,2023-04-28,2,527,105,422,27,,Mid-Range,Dhaba
ORD000162,R01911,Bangalore,North Indian,2024-04-29,4,887,0,887,47,,Mid-Range,Casual Dining
ORD000163,R00880,Ahmedabad,Thai,2023-09-05,2,134,40,94,25,3.2,Budget,Fine Dining
ORD000164,R01847,Pune,Continental,2023-09-29,1,138,55,83,73,3.4,Budget,Casual Dining
ORD000165,R01673,Pune,Biryani,2023-08-21,5,789,236,553,70,3.8,Budget,Casual Dining
ORD000166,R01872,Chennai,South Indian,2024-03-11,2,729,72,657,43,,Premium,Cafe
ORD000167,R00698,Lucknow,Biryani,2024-05-08,5,1672,167,1505,57,,Mid-Range,Fine Dining
ORD000168,R01115,Jaipur,North Indian,2023-11-27,2,672,336,336,80,3.4,Mid-Range,Casual Dining
ORD000169,R00590,Delhi,Italian,2023-11-20,5,2183,218,1965,43,3.8,Premium,Casual Dining
ORD000170,R01231,Hyderabad,South Indian,2024-01-26,5,773,386,387,39,4.2,Budget,Casual Dining
ORD000171,R00354,Ahmedabad,Continental,2024-05-08,4,1390,139,1251,32,,Mid-Range,Casual Dining
ORD000172,R00136,Bangalore,Continental,2023-04-28,5,1249,374,875,87,,Mid-Range,Fine Dining
ORD000173,R01455,Jaipur,South Indian,2024-01-10,5,1629,0,1629,28,,Mid-Range,Cloud Kitchen
ORD000174,R00405,Mumbai,Mexican,2024-09-13,5,994,397,597,51,3.0,Budget,Fine Dining
ORD000175,R00896,Mumbai,Italian,2024-11-27,3,2759,551,2208,39,3.8,Premium,Quick Bites
ORD000176,R00132,Lucknow,North Indian,2024-01-03,5,2023,202,1821,39,,Premium,Casual Dining
ORD000177,R01669,Jaipur,Italian,2024-06-14,1,380,114,266,27,3.1,Mid-Range,Cloud Kitchen
ORD000178,R00826,Hyderabad,South Indian,2023-01-24,2,1501,300,1201,49,4.4,Premium,Casual Dining
ORD000179,R00406,Ahmedabad,Continental,2024-05-22,5,1660,498,1162,42,3.9,Mid-Range,Cloud Kitchen
ORD000180,R00944,Kolkata,Fast Food,2024-02-22,3,767,0,767,32,4.0,Mid-Range,Casual Dining
ORD000181,R01951,Lucknow,Italian,2024-12-12,1,159,0,159,35,3.6,Budget,Casual Dining
ORD000182,R00371,Chennai,Italian,2023-09-02,3,2952,885,2067,39,,Premium,Cloud Kitchen
ORD000183,R01839,Bangalore,Thai,2024-09-04,1,409,0,409,29,3.6,Premium,Quick Bites
ORD000184,R01311,Chennai,Fast Food,2024-12-03,5,2073,414,1659,50,3.3,Mid-Range,Casual Dining
ORD000185,R01075,Delhi,Biryani,2023-03-01,4,1190,238,952,47,,Mid-Range,Cafe
ORD000186,R00727,Kolkata,Mexican,2023-05-10,3,391,0,391,62,,Budget,Casual Dining
ORD000187,R01279,Lucknow,Desserts,2024-12-10,1,252,0,252,60,,Mid-Range,Cloud Kitchen
ORD000188,R00278,Pune,Fast Food,2023-04-15,2,458,137,321,27,3.3,Mid-Range,Casual Dining
ORD000189,R00941,Pune,Desserts,2024-02-13,5,1349,269,1080,51,,Mid-Range,Cloud Kitchen
ORD000190,R01556,Kolkata,South Indian,2023-08-21,3,1345,269,1076,55,4.2,Premium,Casual Dining
ORD000191,R00250,Chennai,South Indian,2023-03-23,4,1021,306,715,67,,Mid-Range,Cloud Kitchen
ORD000192,R01990,Delhi,South Indian,2023-01-20,3,645,64,581,35,,Budget,Casual Dining
ORD000193,R01152,Hyderabad,Italian,2023-10-05,4,658,197,461,57,3.7,Budget,Quick Bites
ORD000194,R00401,Chennai,Italian,2023-10-04,3,1946,389,1557,23,3.3,Premium,Cloud Kitchen
ORD000195,R00082,Kolkata,South Indian,2024-09-13,3,607,182,425,61,3.5,Budget,Casual Dining
ORD000196,R01541,Bangalore,Biryani,2023-06-09,1,278,0,278,35,,Mid-Range,Casual Dining
ORD000197,R01614,Jaipur,Thai,2023-03-29,4,2995,898,2097,73,,Premium,Cloud Kitchen
ORD000198,R01804,Delhi,Chinese,2023-12-12,2,331,0,331,53,3.6,Budget,Dhaba
ORD000199,R01313,Mumbai,North Indian,2024-01-21,5,1346,269,1077,48,3.6,Mid-Range,Fine Dining
ORD000200,R01102,Ahmedabad,Thai,2023-08-27,2,1692,169,1523,66,,Premium,Cloud Kitchen
ORD000201,R01677,Jaipur,Mexican,2023-10-08,3,980,294,686,42,3.9,Mid-Range,Cloud Kitchen
ORD000202,R01723,Bangalore,Fast Food,2023-09-01,3,369,0,369,35,,Budget,Cloud Kitchen
ORD000203,R00974,Lucknow,Thai,2023-04-02,2,1630,652,978,51,4.8,Premium,Casual Dining
ORD000204,R00193,Delhi,Mexican,2024-01-31,2,290,29,261,39,3.5,Budget,Casual Dining
ORD000205,R00996,Pune,Desserts,2023-02-04,3,1094,328,766,23,3.8,Mid-Range,Casual Dining
ORD000206,R00984,Jaipur,North Indian,2023-12-07,5,2061,618,1443,61,,Mid-Range,Casual Dining
ORD000207,R01258,Ahmedabad,Biryani,2023-07-11,3,221,44,177,50,3.4,Budget,Quick Bites
ORD000208,R01268,Bangalore,South Indian,2024-06-05,3,353,0,353,61,,Budget,Casual Dining
ORD000209,R01328,Hyderabad,North Indian,2023-07-19,5,3108,310,2798,72,,Premium,Cloud Kitchen
ORD000210,R01490,Mumbai,Mexican,2024-10-12,4,1291,516,775,77,,Mid-Range,Dhaba
ORD000211,R00737,Chennai,Continental,2023-04-19,4,931,186,745,44,,Mid-Range,Fine Dining
ORD000212,R01796,Jaipur,Fast Food,2023-09-08,3,185,0,185,35,3.4,Budget,Casual Dining
ORD000213,R01663,Ahmedabad,Italian,2023-07-20,5,2066,0,2066,69,4.5,Mid-Range,Casual Dining
ORD000214,R01316,Jaipur,Chinese,2023-02-09,4,1562,624,938,41,4.2,Mid-Range,Cloud Kitchen
ORD000215,R00905,Mumbai,North Indian,2023-12-31,5,901,270,631,75,3.3,Budget,Casual Dining
ORD000216,R01207,Jaipur,Mexican,2024-05-01,1,716,143,573,48,4.7,Premium,Quick Bites
ORD000217,R00588,Pune,Thai,2024-09-27,5,1894,568,1326,62,,Mid-Range,Fine Dining
ORD000218,R00424,Pune,Fast Food,2024-01-18,1,974,292,682,47,,Premium,Cloud Kitchen
ORD000219,R00311,Delhi,Mexican,2024-03-17,4,665,199,466,48,,Budget,Quick Bites
ORD000220,R01937,Ahmedabad,Fast Food,2024-09-17,4,209,62,147,89,2.9,Budget,Casual Dining
ORD000221,R00157,Lucknow,Fast Food,2024-06-18,3,787,78,709,55,,Mid-Range,Cloud Kitchen
ORD000222,R01395,Mumbai,Continental,2023-02-03,3,1729,0,1729,20,4.4,Premium,Casual Dining
ORD000223,R01122,Ahmedabad,Chinese,2023-12-22,3,857,0,857,68,5.3,Mid-Range,Quick Bites
ORD000224,R00041,Chennai,Thai,2024-07-27,3,998,199,799,51,,Mid-Range,Dhaba
ORD000225,R00852,Kolkata,Biryani,2024-01-22,3,976,195,781,46,4.2,Mid-Range,Casual Dining
ORD000226,R01898,Hyderabad,North Indian,2024-07-31,3,1258,0,1258,61,4.0,Premium,Quick Bites
ORD000227,R01645,Jaipur,Fast Food,2023-06-25,4,1042,0,1042,38,3.7,Mid-Range,Fine Dining
ORD000228,R00121,Bangalore,Continental,2024-01-22,2,336,100,236,71,4.2,Budget,Dhaba
ORD000229,R01782,Ahmedabad,Continental,2024-09-18,1,141,0,141,36,,Budget,Quick Bites
ORD000230,R00567,Mumbai,North Indian,2023-08-14,5,4843,1452,3391,62,,Premium,Quick Bites
ORD000231,R00794,Mumbai,Continental,2023-02-17,4,946,0,946,35,3.9,Mid-Range,Cloud Kitchen
ORD000232,R00823,Chennai,Fast Food,2023-02-05,1,97,29,68,75,2.6,Budget,Quick Bites
ORD000233,R00045,Chennai,South Indian,2024-09-18,3,1292,258,1034,54,,Mid-Range,Quick Bites
ORD000234,R01392,Mumbai,Italian,2023-07-28,3,263,0,263,39,3.8,Budget,Cafe
ORD000235,R01078,Delhi,Biryani,2024-09-21,2,806,161,645,70,,Mid-Range,Quick Bites
ORD000236,R00666,Delhi,North Indian,2024-03-22,2,506,101,405,77,,Mid-Range,Quick Bites
ORD000237,R00373,Hyderabad,Chinese,2023-03-10,2,513,51,462,34,,Mid-Range,Quick Bites
ORD000238,R00198,Ahmedabad,Thai,2023-10-28,5,1691,169,1522,31,4.2,Mid-Range,Quick Bites
ORD000239,R01882,Pune,Thai,2024-12-12,2,579,173,406,20,,Mid-Range,Quick Bites
ORD000240,R00569,Kolkata,South Indian,2023-05-13,4,1539,307,1232,31,3.8,Mid-Range,Quick Bites
ORD000241,R00305,Chennai,South Indian,2023-11-22,1,118,0,118,52,,Budget,Dhaba
ORD000242,R00088,Chennai,Mexican,2023-04-25,1,67,6,61,37,,Budget,Fine Dining
ORD000243,R01906,Kolkata,Chinese,2024-10-09,1,780,0,780,63,,Premium,Quick Bites
ORD000244,R01493,Lucknow,Desserts,2023-06-06,5,648,0,648,71,,Budget,Quick Bites
ORD000245,R01554,Mumbai,Fast Food,2023-04-11,5,2840,568,2272,69,,Premium,Casual Dining
ORD000246,R01430,Bangalore,Chinese,2024-01-02,2,786,78,708,85,,Mid-Range,Casual Dining
ORD000247,R00361,Jaipur,Fast Food,2023-03-01,1,272,0,272,69,,Mid-Range,Casual Dining
ORD000248,R01709,Jaipur,Fast Food,2023-01-28,2,589,117,472,34,3.5,Mid-Range,Casual Dining
ORD000249,R01497,Delhi,Biryani,2024-02-18,5,1483,148,1335,62,,Mid-Range,Fine Dining
ORD000250,R01224,Bangalore,South Indian,2023-02-04,1,439,87,352,85,3.4,Premium,Cloud Kitchen
ORD000251,R01422,Kolkata,Chinese,2024-01-16,2,360,108,252,42,,Budget,Casual Dining
ORD000252,R01325,Lucknow,Mexican,2023-10-11,4,2159,0,2159,34,,Premium,Quick Bites
ORD000253,R00032,Jaipur,South Indian,2024-01-26,2,534,0,534,78,,Mid-Range,Quick Bites
ORD000254,R00898,Mumbai,Italian,2023-08-25,5,859,0,859,67,,Budget,Quick Bites
ORD000255,R00658,Ahmedabad,Fast Food,2024-01-09,5,1257,377,880,62,,Mid-Range,Cloud Kitchen
ORD000256,R00242,Chennai,Fast Food,2023-11-04,2,610,61,549,56,4.2,Mid-Range,Casual Dining
ORD000257,R00970,Delhi,South Indian,2023-02-08,1,163,0,163,32,3.7,Budget,Quick Bites
ORD000258,R01658,Pune,Continental,2023-02-10,1,323,0,323,25,4.6,Mid-Range,Cloud Kitchen
