order_id,customer_id,order_date,category,brand,mrp,discount_pct,price_paid,rating,returned,delivery_days,city
ORD000034,C01483,2024-02-29,Men's Clothing,Zara,2995,40,1797,4,False,6,Ahmedabad
ORD000035,C00474,2022-11-02,Accessories,Lavie,2343,30,1640,3,False,4,Delhi
ORD000036,C01978,2023-09-20,Accessories,Lavie,1113,60,445,5,False,7,Bangalore
ORD000037,C00185,2023-01-12,Women's Clothing,Biba,5801,60,2320,4,False,2,Pune
ORD000038,C00698,2024-10-24,Accessories,Titan,1083,10,974,4,False,6,Mumbai
ORD000039,C00441,2023-08-06,Footwear,Metro,1552,40,931,5,False,5,Mumbai
ORD000040,C01175,2024-11-09,Men's Clothing,Zara,4040,50,2020,2,False,7,Mumbai
ORD000041,C00269,2022-11-13,Men's Clothing,Jack & Jones,1987,30,1390,4,False,7,Lucknow
ORD000042,C00852,2024-05-22,Footwear,Adidas,4430,30,3101,5,False,2,Chennai
ORD000043,C01969,2024-04-23,Kids,H&M Kids,2185,10,1966,4,False,3,Kolkata
ORD000044,C00626,2022-03-14,Men's Clothing,US Polo,4891,70,1467,2,False,5,Delhi
ORD000045,C00982,2024-11-06,Women's Clothing,Vero Moda,2510,50,1255,4,False,4,Pune
ORD000046,C00419,2022-12-23,Footwear,Nike,7512,20,6009,5,False,3,Jaipur
ORD000047,C01906,2022-07-12,Women's Clothing,Aurelia,3878,40,2326,5,True,2,Bangalore
ORD000048,C01611,2024-02-10,Accessories,Titan,2511,40,1506,2,False,7,Ahmedabad
ORD000049,C01134,2022-10-12,Women's Clothing,Vero Moda,753,60,301,1,False,2,Kolkata
ORD000050,C00753,2024-12-04,Footwear,Nike,8475,70,2542,3,False,5,Ahmedabad
ORD000051,C00108,2022-01-13,Footwear,Nike,3255,50,1627,4,False,6,Bangalore
ORD000052,C01028,2024-09-04,Men's Clothing,Roadster,4480,50,2240,4,False,5,Delhi
ORD000053,C01937,2023-08-11,Women's Clothing,Biba,4528,20,3622,4,False,6,Pune
ORD000054,C00578,2024-09-12,Beauty,Nykaa,2490,70,747,3,False,5,Pune
ORD000055,C01698,2023-04-30,Men's Clothing,Jack & Jones,754,70,226,4,False,7,Pune
ORD000056,C00274,2022-03-11,Footwear,Nike,1683,50,841,4,False,5,Jaipur
ORD000057,C01121,2023-04-01,Kids,Marks & Spencer,883,30,618,4,False,3,Ahmedabad
ORD000058,C01726,2024-02-09,Kids,Mothercare,788,30,551,4,False,2,Mumbai
ORD000059,C01657,2022-04-14,Footwear,Puma,2206,20,1764,4,True,5,Delhi
ORD000060,C01407,2024-08-01,Women's Clothing,AND,1384,60,553,1,False,3,Ahmedabad
ORD000061,C00041,2022-02-13,Footwear,Bata,917,20,733,4,False,3,Pune
ORD000062,C01196,2023-02-10,Beauty,MAC,398,60,159,5,False,5,Chennai
ORD000063,C00806,2023-06-26,Women's Clothing,Vero Moda,3244,40,1946,4,False,4,Mumbai
ORD000064,C00820,2024-06-06,Men's Clothing,Roadster,4225,40,2535,4,True,2,Chennai
ORD000065,C01600,2024-08-14,Women's Clothing,Biba,3092,10,2782,3,False,7,Bangalore
ORD000066,C01991,2023-04-14,Men's Clothing,Zara,3318,50,1659,5,False,5,Mumbai
ORD000067,C01827,2024-07-18,Women's Clothing,Aurelia,5322,30,3725,3,False,2,Chennai
ORD000068,C00816,2023-05-20,Accessories,Baggit,3050,70,915,5,False,3,Bangalore
ORD000069,C01587,2022-12-19,Footwear,Bata,2481,50,1240,3,True,6,Chennai
ORD000070,C00222,2024-09-19,Kids,H&M Kids,2023,50,1011,4,False,3,Kolkata
ORD000071,C01709,2024-08-08,Women's Clothing,Vero Moda,4006,40,2403,5,False,2,Chennai
ORD000072,C00584,2024-07-31,Footwear,Metro,4683,50,2341,4,False,3,Ahmedabad
ORD000073,C01415,2023-08-21,Sports & Fitness,Reebok,1811,40,1086,4,False,2,Chennai
ORD000074,C01037,2024-07-07,Accessories,Fastrack,3745,30,2621,5,False,3,Jaipur
ORD000075,C00759,2022-04-02,Men's Clothing,Roadster,3565,50,1782,5,False,7,Chennai
ORD000076,C00105,2022-03-01,Men's Clothing,US Polo,2120,60,848,4,False,3,Hyderabad
ORD000077,C00794,2023-10-02,Women's Clothing,Aurelia,3859,60,1543,4,False,2,Lucknow
ORD000078,C01953,2022-04-29,Sports & Fitness,Puma,3222,20,2577,4,False,4,Pune
ORD000079,C00450,2024-06-17,Beauty,Nykaa,2390,40,1434,3,False,4,Ahmedabad
ORD000080,C00834,2024-02-21,Women's Clothing,Biba,618,10,556,1,False,5,Delhi
ORD000081,C01584,2022-02-28,Women's Clothing,Vero Moda,4429,40,2657,4,False,2,Kolkata
ORD000082,C00049,2022-10-05,Women's Clothing,Vero Moda,4846,70,1453,2,False,2,Chennai
ORD000083,C00890,2023-01-23,Beauty,Nykaa,1133,10,1019,3,False,7,Pune
ORD000084,C00606,2024-11-26,Sports & Fitness,Adidas,5873,70,1761,5,False,7,Delhi
ORD000085,C01079,2022-11-08,Footwear,Nike,4655,30,3258,4,False,7,Pune
ORD000086,C01767,2024-05-01,Footwear,Puma,3940,30,2758,4,False,5,Pune
ORD000087,C01116,2024-11-28,Sports & Fitness,Puma,1606,20,1284,4,False,3,Chennai
ORD000088,C00770,2024-05-13,Sports & Fitness,Decathlon,5071,30,3549,5,False,4,Hyderabad
ORD000089,C01708,2024-09-05,Kids,Marks & Spencer,2249,40,1349,4,False,5,Delhi
ORD000090,C00761,2023-12-11,Accessories,Titan,2118,30,1482,4,False,4,Mumbai
ORD000091,C00023,2023-09-14,Kids,H&M Kids,391,30,273,5,False,6,Mumbai
ORD000092,C01060,2023-08-30,Women's Clothing,Aurelia,2666,30,1866,4,False,7,Bangalore
ORD000093,C01790,2024-07-09,Footwear,Metro,3452,60,1380,3,False,5,Jaipur
ORD000094,C01186,2023-12-24,Accessories,Lavie,1737,40,1042,3,False,3,Pune
ORD000095,C01336,2022-10-19,Footwear,Adidas,4031,50,2015,4,False,3,Kolkata
ORD000096,C01290,2024-06-10,Women's Clothing,W,3078,30,2154,4,True,2,Hyderabad
ORD000097,C00840,2024-09-25,Footwear,Nike,2125,40,1275,4,False,4,Delhi
ORD000098,C01363,2022-08-17,Women's Clothing,W,3092,60,1236,4,False,5,Jaipur
ORD000099,C01543,2024-04-22,Women's Clothing,AND,1920,10,1728,5,True,3,Lucknow
ORD000100,C01322,2022-01-29,Footwear,Adidas,7332,50,3666,5,False,3,Delhi
ORD000101,C00446,2022-02-10,Footwear,Puma,1015,50,507,4,False,6,Jaipur
ORD000102,C00720,2022-03-15,Beauty,MAC,907,60,362,3,False,2,Mumbai
ORD000103,C00236,2024-08-01,Women's Clothing,W,1808,60,723,4,False,5,Hyderabad
ORD000104,C01123,2023-09-30,Women's Clothing,Biba,982,60,392,2,False,7,Ahmedabad
ORD000105,C00797,2023-10-16,Kids,Marks & Spencer,1026,20,820,4,False,7,Chennai
ORD000106,C00385,2022-12-18,Men's Clothing,H&M,3303,40,1981,3,False,7,Chennai
ORD000107,C00475,2024-04-01,Women's Clothing,AND,3352,20,2681,5,False,3,Chennai
ORD000108,C00415,2022-09-10,Men's Clothing,Zara,708,50,354,5,False,7,Delhi
ORD000109,C00294,2022-07-30,Women's Clothing,AND,1813,30,1269,4,False,5,Pune
ORD000110,C01452,2024-12-20,Sports & Fitness,Nike,4054,40,2432,4,False,7,Bangalore
ORD000111,C01203,2023-10-13,Sports & Fitness,Decathlon,3669,10,3302,4,False,5,Delhi
ORD000112,C01514,2022-08-17,Men's Clothing,US Polo,3474,60,1389,4,False,6,Pune
ORD000113,C00943,2024-04-03,Accessories,Lavie,817,30,571,4,False,5,Chennai
ORD000114,C00345,2023-06-29,Beauty,Maybelline,217,20,173,4,True,3,Mumbai
ORD000115,C00722,2023-09-27,Sports & Fitness,Decathlon,4473,40,2683,4,False,5,Jaipur
ORD000116,C01311,2024-04-02,Women's Clothing,AND,2032,40,1219,5,False,3,Pune
ORD000117,C00844,2024-07-17,Men's Clothing,H&M,4965,50,2482,5,False,2,Kolkata
ORD000118,C01724,2023-04-19,Women's Clothing,Aurelia,3508,40,2104,4,False,3,Mumbai
ORD000119,C01648,2023-10-07,Beauty,Maybelline,208,30,145,5,False,2,Ahmedabad
ORD000120,C00199,2022-01-16,Men's Clothing,Jack & Jones,3972,60,1588,4,False,7,Jaipur
ORD000121,C00871,2022-06-06,Men's Clothing,US Polo,4659,20,3727,4,False,6,Delhi
ORD000122,C01014,2022-02-12,Women's Clothing,Aurelia,1291,30,903,5,False,5,Kolkata
ORD000123,C00516,2022-07-21,Accessories,Titan,1938,30,1356,5,False,6,Bangalore
ORD000124,C01763,2023-12-27,Footwear,Adidas,5350,30,3744,5,False,3,Ahmedabad
ORD000125,C01764,2023-09-26,Men's Clothing,H&M,2144,60,857,4,True,5,Lucknow
ORD000126,C00445,2023-02-12,Women's Clothing,Biba,3059,30,2141,4,False,6,Delhi
ORD000127,C01394,2023-02-03,Accessories,Fastrack,1075,50,537,4,False,6,Chennai
ORD000128,C01128,2023-09-27,Men's Clothing,US Polo,4446,60,1778,4,True,7,Lucknow
ORD000129,C01268,2023-12-15,Footwear,Adidas,6100,30,4270,5,False,2,Ahmedabad
ORD000130,C01128,2024-03-21,Beauty,Lakme,905,30,633,4,False,7,Lucknow
ORD000131,C00240,2024-02-04,Women's Clothing,W,2940,30,2058,3,True,6,Chennai
ORD000132,C00046,2024-11-16,Sports & Fitness,Adidas,6451,50,3225,5,False,7,Jaipur
ORD000133,C01482,2023-01-13,Men's Clothing,US Polo,4038,30,2826,5,False,6,Lucknow
ORD000134,C01838,2024-02-05,Women's Clothing,Aurelia,4080,40,2448,4,False,3,Bangalore
ORD000135,C00194,2024-04-30,Women's Clothing,AND,2333,40,1399,4,False,4,Bangalore
ORD000136,C00968,2024-03-01,Men's Clothing,US Polo,3498,20,2798,4,True,2,Lucknow
ORD000137,C01193,2024-10-09,Footwear,Bata,5097,30,3567,3,False,6,Delhi
ORD000138,C01775,2023-09-13,Footwear,Nike,4064,50,2032,2,False,3,Mumbai
ORD000139,C00592,2023-10-06,Women's Clothing,Aurelia,5663,20,4530,4,False,6,Ahmedabad
ORD000140,C01739,2022-04-25,Women's Clothing,Vero Moda,4721,40,2832,4,False,2,Jaipur
ORD000141,C00476,2024-06-13,Accessories,Fossil,1025,30,717,4,False,3,Lucknow
ORD000142,C01159,2022-11-04,Accessories,Titan,1424,40,854,4,False,5,Bangalore
ORD000143,C00948,2023-03-20,Women's Clothing,AND,1736,40,1041,5,False,2,Delhi
ORD000144,C00189,2022-07-11,Accessories,Fossil,2854,60,1141,4,False,2,Mumbai
ORD000145,C01811,2024-11-12,Women's Clothing,Biba,4206,40,2523,5,False,5,Hyderabad
ORD000146,C00357,2022-06-18,Men's Clothing,US Polo,1309,40,785,5,False,7,Delhi
ORD000147,C01362,2022-03-07,Footwear,Bata,1467,50,733,4,False,7,Delhi
ORD000148,C00660,2022-08-24,Men's Clothing,US Polo,4254,40,2552,4,False,6,Chennai
ORD000149,C01152,2023-04-20,Women's Clothing,AND,1636,60,654,3,True,6,Lucknow
ORD000150,C01483,2024-11-23,Women's Clothing,W,5724,60,2289,4,False,4,Jaipur
ORD000151,C00331,2024-11-01,Men's Clothing,H&M,1230,40,738,5,False,6,Bangalore
ORD000152,C00639,2024-10-11,Accessories,Fossil,941,60,376,2,False,7,Kolkata
ORD000153,C00467,2022-06-23,Women's Clothing,AND,5581,10,5022,5,False,5,Lucknow
ORD000154,C00789,2024-08-20,Women's Clothing,W,2526,30,1768,3,True,4,Lucknow
ORD000155,C00838,2023-12-25,Beauty,MAC,2576,40,1545,5,False,4,Hyderabad
ORD000156,C00211,2024-10-01,Women's Clothing,AND,3331,30,2331,4,True,4,Bangalore
ORD000157,C01684,2022-09-21,Kids,Carter's,2228,40,1336,4,False,7,Chennai
ORD000158,C00013,2024-11-09,Men's Clothing,Zara,688,60,275,4,False,3,Chennai
ORD000159,C00097,2024-06-29,Men's Clothing,H&M,568,30,397,1,False,5,Pune
ORD000160,C01492,2022-03-17,Men's Clothing,Jack & Jones,4856,60,1942,4,False,2,Delhi
ORD000161,C00876,2023-06-21,Women's Clothing,W,4771,30,3339,5,False,2,Hyderabad
ORD000162,C01866,2023-05-08,Sports & Fitness,Adidas,3186,30,2230,4,False,2,Pune
ORD000163,C00527,2022-04-10,Accessories,Lavie,480,30,336,4,False,6,Chennai
ORD000164,C01242,2023-05-01,Kids,H&M Kids,2048,10,1843,4,False,6,Bangalore
ORD000165,C01782,2023-03-06,Women's Clothing,W,5485,40,3291,4,False,6,Kolkata
ORD000166,C01166,2022-12-30,Sports & Fitness,Puma,2474,50,1237,5,False,5,Chennai
ORD000167,C01055,2024-03-14,Men's Clothing,H&M,967,50,483,4,False,2,Lucknow
ORD000168,C00965,2023-04-09,Beauty,L'Oreal,681,60,272,4,False,6,Hyderabad
ORD000169,C01903,2023-02-08,Men's Clothing,US Polo,3407,10,3066,5,False,2,Mumbai
ORD000170,C01366,2024-08-06,Beauty,Lakme,2277,60,910,5,False,6,Delhi
ORD000171,C00824,2023-02-04,Women's Clothing,Biba,4843,20,3874,3,False,7,Hyderabad
ORD000172,C00546,2022-06-25,Footwear,Nike,915,50,457,5,False,4,Delhi
ORD000173,C01419,2024-04-08,Women's Clothing,Vero Moda,856,70,256,2,False,7,Bangalore
ORD000174,C01749,2022-03-13,Accessories,Titan,2614,40,1568,4,False,5,Lucknow
ORD000175,C00244,2023-02-12,Footwear,Adidas,3095,30,2166,3,False,2,Chennai
ORD000176,C01032,2022-12-23,Sports & Fitness,Adidas,3933,60,1573,5,False,7,Chennai
ORD000177,C00988,2022-10-18,Footwear,Nike,3481,40,2088,5,False,6,Hyderabad
ORD000178,C00430,2022-01-09,Footwear,Adidas,4386,30,3070,3,False,7,Hyderabad
ORD000179,C00674,2022-10-29,Men's Clothing,Zara,1821,20,1456,2,False,7,Bangalore
ORD000180,C01402,2024-04-17,Men's Clothing,Zara,4617,40,2770,4,False,4,Pune
ORD000181,C00603,2023-10-30,Women's Clothing,Biba,3988,30,2791,4,False,4,Pune
ORD000182,C01286,2022-09-10,Women's Clothing,AND,5319,30,3723,4,False,6,Pune
ORD000183,C00987,2023-01-31,Women's Clothing,Vero Moda,5200,40,3120,5,False,7,Hyderabad
ORD000184,C00761,2023-03-14,Men's Clothing,Roadster,652,60,260,4,False,7,Chennai
ORD000185,C01101,2022-08-12,Beauty,L'Oreal,2810,30,1966,3,False,5,Kolkata
ORD000186,C01069,2023-04-23,Men's Clothing,Roadster,697,30,487,5,True,3,Bangalore
ORD000187,C01384,2022-09-01,Accessories,Lavie,496,50,248,2,False,4,Pune
ORD000188,C01256,2022-09-03,Beauty,Maybelline,2587,30,1810,4,False,2,Pune
ORD000189,C00334,2022-08-05,Men's Clothing,Jack & Jones,2967,20,2373,1,True,3,Mumbai
ORD000190,C00599,2022-04-29,Men's Clothing,US Polo,2788,40,1672,5,False,3,Bangalore
ORD000191,C01883,2024-11-03,Footwear,Metro,5547,30,3882,2,False,3,Bangalore
ORD000192,C01553,2024-07-05,Women's Clothing,AND,748,60,299,3,False,6,Mumbai
ORD000193,C01882,2022-12-09,Men's Clothing,Zara,4365,40,2619,4,False,7,Chennai
ORD000194,C01219,2023-04-25,Women's Clothing,AND,5148,40,3088,5,False,5,Bangalore
ORD000195,C00444,2022-05-20,Accessories,Baggit,3192,70,957,4,True,3,Delhi
ORD000196,C00790,2024-04-03,Men's Clothing,Roadster,4715,20,3772,4,False,2,Lucknow
ORD000197,C00298,2023-04-21,Men's Clothing,Zara,1107,30,774,3,False,5,Chennai
ORD000198,C01794,2022-12-10,Beauty,Maybelline,250,50,125,4,False,2,Chennai
ORD000199,C00915,2023-11-04,Women's Clothing,Biba,5948,40,3568,4,True,3,Bangalore
ORD000200,C01133,2024-08-25,Women's Clothing,Vero Moda,5839,40,3503,5,True,6,Lucknow
ORD000201,C01927,2024-07-14,Men's Clothing,H&M,1835,50,917,2,False,2,Mumbai
ORD000202,C00263,2023-09-28,Men's Clothing,Roadster,3174,30,2221,4,False,2,Chennai
ORD000203,C00631,2023-10-14,Accessories,Lavie,2830,40,1698,4,False,2,Kolkata
ORD000204,C00217,2023-11-27,Men's Clothing,H&M,2417,30,1691,5,True,7,Bangalore
ORD000205,C00209,2023-06-15,Women's Clothing,AND,5089,60,2035,4,True,6,Delhi
ORD000206,C01637,2023-04-17,Men's Clothing,H&M,3415,40,2049,3,False,6,Mumbai
ORD000207,C01728,2023-11-18,Women's Clothing,Aurelia,4228,10,3805,3,False,7,Lucknow
ORD000208,C01277,2024-06-19,Sports & Fitness,Decathlon,3964,30,2774,4,False,5,Pune
ORD000209,C00783,2023-04-03,Footwear,Nike,2956,20,2364,4,False,3,Chennai
ORD000210,C01364,2023-06-13,Women's Clothing,Vero Moda,5676,30,3973,4,False,3,Jaipur
ORD000211,C01331,2023-03-13,Footwear,Metro,3019,70,905,4,False,5,Chennai
ORD000212,C01198,2024-11-05,Beauty,Maybelline,1606,50,803,1,False,4,Chennai
ORD000213,C00999,2024-05-30,Men's Clothing,Roadster,4098,60,1639,4,False,3,Delhi
ORD000214,C00446,2022-05-02,Footwear,Adidas,7673,40,4603,5,False,5,Pune
ORD000215,C00736,2022-09-03,Beauty,Maybelline,1186,50,593,4,False,3,Jaipur
ORD000216,C00186,2023-06-11,Men's Clothing,Zara,2526,40,1515,4,False,7,Lucknow
ORD000217,C01581,2023-05-23,Kids,Mothercare,1973,40,1183,3,False,5,Ahmedabad
ORD000218,C01721,2023-01-05,Women's Clothing,Vero Moda,1262,20,1009,2,True,3,Bangalore
ORD000219,C01710,2022-10-30,Footwear,Metro,1512,30,1058,5,False,2,Delhi
ORD000220,C00156,2023-07-04,Footwear,Puma,989,40,593,5,False,5,Chennai
ORD000221,C00821,2024-09-12,Footwear,Metro,3555,30,2488,5,False,3,Lucknow
ORD000222,C00016,2022-05-22,Men's Clothing,US Polo,1931,20,1544,5,False,2,Hyderabad
ORD000223,C00798,2023-02-27,Beauty,L'Oreal,2728,30,1909,3,False,4,Pune
ORD000224,C00992,2022-06-02,Sports & Fitness,Adidas,4040,30,2828,2,True,7,Lucknow
ORD000225,C01700,2023-05-08,Accessories,Titan,2458,30,1720,2,False,7,Mumbai
ORD000226,C01484,2024-01-31,Men's Clothing,US Polo,3955,60,1582,3,False,4,Ahmedabad
ORD000227,C00420,2024-01-13,Men's Clothing,Zara,1786,30,1250,4,False,3,Chennai
ORD000228,C00223,2022-07-04,Women's Clothing,Vero Moda,3060,60,1224,4,False,5,Lucknow
ORD000229,C00380,2023-01-25,Sports & Fitness,Puma,4189,60,1675,5,True,2,Jaipur
ORD000230,C00145,2023-03-11,Accessories,Titan,1838,30,1286,3,False,2,Delhi
ORD000231,C00350,2022-10-24,Beauty,Lakme,1497,20,1197,5,False,5,Lucknow
ORD000232,C00332,2024-08-04,Women's Clothing,Vero Moda,5378,10,4840,3,True,4,Hyderabad
ORD000233,C01479,2022-04-27,Men's Clothing,H&M,2054,20,1643,4,False,3,Ahmedabad
ORD000234,C00290,2024-07-26,Women's Clothing,Biba,1233,50,616,4,False,2,Jaipur
ORD000235,C01141,2022-10-04,Men's Clothing,Zara,1043,60,417,4,False,3,Hyderabad
ORD000236,C01819,2024-03-26,Women's Clothing,Vero Moda,1285,20,1028,5,False,6,Hyderabad
ORD000237,C01299,2024-02-15,Women's Clothing,Vero Moda,3965,50,1982,5,False,4,Bangalore
ORD000238,C01972,2024-06-10,Footwear,Puma,2149,10,1934,2,False,2,Chennai
ORD000239,C00757,2022-08-25,Men's Clothing,Jack & Jones,2295,40,1377,5,False,7,Delhi
ORD000240,C00279,2022-05-03,Footwear,Metro,5434,30,3803,4,False,2,Delhi
ORD000241,C01873,2023-07-18,Men's Clothing,Jack & Jones,4092,70,1227,3,True,3,Hyderabad
ORD000242,C00410,2023-02-25,Men's Clothing,US Polo,1485,30,1039,5,False,5,Jaipur
ORD000243,C00801,2024-03-20,Men's Clothing,Jack & Jones,3467,30,2426,4,False,5,Bangalore
ORD000244,C00865,2024-08-12,Men's Clothing,Roadster,1511,40,906,3,False,2,Ahmedabad
ORD000245,C00260,2023-09-25,Women's Clothing,Vero Moda,3446,30,2412,5,False,7,Kolkata
ORD000246,C00944,2023-09-04,Beauty,Nykaa,2485,30,1739,4,False,5,Chennai
ORD000247,C00112,2024-05-14,Accessories,Baggit,3325,30,2327,4,False,7,Kolkata
ORD000248,C01022,2024-04-24,Men's Clothing,Zara,4636,40,2781,3,False,2,Delhi
ORD000249,C01440,2023-04-21,Women's Clothing,Biba,2901,40,1740,4,False,4,Pune
ORD000250,C00378,2024-09-15,Women's Clothing,Vero Moda,4866,40,2919,4,False,7,Ahmedabad
ORD000251,C00217,2024-02-14,Footwear,Nike,4730,40,2838,5,False,6,Delhi
ORD000252,C00148,2023-05-13,Accessories,Fossil,2053,40,1231,2,False,4,Mumbai
ORD000253,C00482,2024-07-26,Beauty,Lakme,1572,30,1100,3,True,4,Jaipur
ORD000254,C00340,2022-11-23,Men's Clothing,H&M,2289,50,1144,2,False,2,Mumbai
ORD000255,C00131,2023-06-11,Women's Clothing,Vero Moda,3626,60,1450,5,False,6,Lucknow
ORD000256,C01299,2024-05-04,Accessories,Fastrack,2067,40,1240,1,False,6,Hyderabad
ORD000257,C00786,2024-12-19,Beauty,Maybelline,2992,30,2094,5,False,6,Jaipur
ORD000258,C00938,2023-05-09,Men's Clothing,US Polo,1954,60,781,4,False,2,Mumbai
ORD000259,C00638,2023-02-20,Sports & Fitness,Puma,5491,40,3294,5,False,3,Pune
ORD000260,C00481,2022-10-14,Women's Clothing,AND,2597,30,1817,2,False,6,Pune
ORD000261,C00427,2022-02-23,Kids,Hopscotch,1826,60,730,5,False,5,Delhi
ORD000262,C01957,2022-05-31,Men's Clothing,US Polo,3150,60,1260,5,False,5,Ahmedabad
ORD000263,C00561,2022-04-15,Women's Clothing,Biba,2331,40,1398,4,True,5,Delhi
ORD000264,C01108,2023-05-28,Women's Clothing,Vero Moda,2084,20,1667,1,False,7,Hyderabad
ORD000265,C01989,2023-03-27,Women's Clothing,AND,702,10,631,5,False,3,Pune
ORD000266,C01054,2022-03-19,Kids,H&M Kids,1489,60,595,5,False,3,Bangalore
ORD000267,C01775,2024-09-17,Men's Clothing,H&M,2865,50,1432,3,False,7,Lucknow
ORD000268,C01025,2023-11-15,Sports & Fitness,Nike,5921,30,4144,2,False,3,Hyderabad
ORD000269,C00134,2022-03-08,Kids,Carter's,1947,40,1168,4,False,2,Ahmedabad
ORD000270,C00155,2022-02-23,Accessories,Lavie,1381,50,690,5,False,3,Hyderabad
ORD000271,C00939,2022-01-27,Women's Clothing,AND,3895,50,1947,5,False,3,Hyderabad
ORD000272,C00835,2023-12-14,Men's Clothing,Zara,3871,40,2322,5,False,3,Pune
ORD000273,C00419,2023-09-26,Footwear,Metro,6102,60,2440,4,False,3,Ahmedabad
ORD000274,C01926,2023-05-23,Beauty,Lakme,1361,20,1088,5,False,5,Chennai
ORD000275,C01384,2022-01-27,Men's Clothing,Zara,3937,40,2362,4,True,3,Ahmedabad
ORD000276,C00092,2023-11-19,Men's Clothing,US Polo,3253,40,1951,4,False,6,Lucknow
ORD000277,C01973,2022-07-24,Sports & Fitness,Adidas,1568,60,627,5,False,6,Delhi
ORD000278,C00654,2024-05-22,Women's Clothing,W,2228,60,891,5,False,6,Lucknow
ORD000279,C01590,2024-03-02,Men's Clothing,Jack & Jones,1702,60,680,5,True,4,Lucknow
ORD000280,C00244,2023-01-18,Sports & Fitness,Reebok,3394,40,2036,5,False,4,Chennai
ORD000281,C01107,2024-01-04,Women's Clothing,Vero Moda,3101,50,1550,4,False,2,Pune
ORD000282,C01930,2024-05-30,Women's Clothing,Aurelia,3922,20,3137,4,False,3,Hyderabad
ORD000283,C00069,2022-06-21,Men's Clothing,Roadster,4807,50,2403,5,False,6,Kolkata
ORD000284,C01544,2022-11-19,Men's Clothing,Roadster,848,40,508,3,False,2,Kolkata
ORD000285,C00814,2023-01-12,Footwear,Bata,5834,60,2333,5,False,7,Delhi
ORD000286,C00474,2022-07-21,Women's Clothing,W,2892,40,1735,4,False,5,Hyderabad
ORD000287,C01461,2023-03-29,Beauty,L'Oreal,402,50,201,5,False,5,Jaipur
ORD000288,C01530,2022-10-08,Women's Clothing,W,5812,60,2324,5,False,6,Lucknow
ORD000289,C01773,2022-05-23,Kids,Mothercare,1976,20,1580,1,False,3,Bangalore
